2025-03-05 16:36:15,286 - Connected to machine on port 5001
2025-03-05 16:36:15,293 - Connected to machine on port 5002
2025-03-05 16:36:15,294 - Machine 2 starting with clock rate 6
2025-03-05 16:36:15,295 - SEND event to port 5002, logical clock: 1
2025-03-05 16:36:15,466 - RECEIVE event, queue length: 0, logical clock: 2
2025-03-05 16:36:15,638 - RECEIVE event, queue length: 0, logical clock: 4
2025-03-05 16:36:15,809 - SEND event to port 5002, logical clock: 5
2025-03-05 16:36:15,980 - SEND event to port 5002, logical clock: 6
2025-03-05 16:36:16,148 - SEND event to port 5001, logical clock: 7
2025-03-05 16:36:16,315 - SEND event to port 5002, logical clock: 8
2025-03-05 16:36:16,486 - SEND event to port 5001, logical clock: 9
2025-03-05 16:36:16,655 - SEND event to port 5002, logical clock: 10
2025-03-05 16:36:16,826 - INTERNAL event, logical clock: 11
2025-03-05 16:36:16,996 - SEND event to ALL machines, logical clock: 12
2025-03-05 16:36:17,168 - SEND event to ALL machines, logical clock: 13
2025-03-05 16:36:17,339 - SEND event to ALL machines, logical clock: 14
2025-03-05 16:36:17,511 - SEND event to port 5001, logical clock: 15
2025-03-05 16:36:17,679 - SEND event to port 5001, logical clock: 16
2025-03-05 16:36:17,851 - INTERNAL event, logical clock: 17
2025-03-05 16:36:18,023 - SEND event to ALL machines, logical clock: 18
2025-03-05 16:36:18,194 - SEND event to ALL machines, logical clock: 19
2025-03-05 16:36:18,366 - SEND event to port 5002, logical clock: 20
2025-03-05 16:36:18,537 - INTERNAL event, logical clock: 21
2025-03-05 16:36:18,709 - SEND event to ALL machines, logical clock: 22
2025-03-05 16:36:18,881 - SEND event to port 5002, logical clock: 23
2025-03-05 16:36:19,049 - SEND event to ALL machines, logical clock: 24
2025-03-05 16:36:19,221 - SEND event to port 5002, logical clock: 25
2025-03-05 16:36:19,393 - INTERNAL event, logical clock: 26
2025-03-05 16:36:19,565 - SEND event to port 5001, logical clock: 27
2025-03-05 16:36:19,736 - SEND event to port 5001, logical clock: 28
2025-03-05 16:36:19,908 - SEND event to ALL machines, logical clock: 29
2025-03-05 16:36:20,080 - SEND event to port 5001, logical clock: 30
2025-03-05 16:36:20,252 - SEND event to port 5002, logical clock: 31
2025-03-05 16:36:20,423 - SEND event to port 5002, logical clock: 32
2025-03-05 16:36:20,595 - SEND event to ALL machines, logical clock: 33
2025-03-05 16:36:20,764 - SEND event to ALL machines, logical clock: 34
2025-03-05 16:36:20,935 - SEND event to port 5001, logical clock: 35
2025-03-05 16:36:21,103 - SEND event to port 5001, logical clock: 36
2025-03-05 16:36:21,274 - SEND event to ALL machines, logical clock: 37
2025-03-05 16:36:21,445 - SEND event to ALL machines, logical clock: 38
2025-03-05 16:36:21,612 - SEND event to port 5001, logical clock: 39
2025-03-05 16:36:21,779 - SEND event to port 5001, logical clock: 40
2025-03-05 16:36:21,951 - SEND event to port 5002, logical clock: 41
2025-03-05 16:36:22,123 - SEND event to port 5002, logical clock: 42
2025-03-05 16:36:22,295 - SEND event to ALL machines, logical clock: 43
2025-03-05 16:36:22,463 - SEND event to ALL machines, logical clock: 44
2025-03-05 16:36:22,632 - SEND event to ALL machines, logical clock: 45
2025-03-05 16:36:22,803 - SEND event to port 5002, logical clock: 46
2025-03-05 16:36:22,974 - SEND event to ALL machines, logical clock: 47
2025-03-05 16:36:23,144 - SEND event to port 5002, logical clock: 48
2025-03-05 16:36:23,316 - SEND event to port 5002, logical clock: 49
2025-03-05 16:36:23,483 - SEND event to port 5002, logical clock: 50
2025-03-05 16:36:23,655 - SEND event to port 5001, logical clock: 51
2025-03-05 16:36:23,826 - SEND event to port 5002, logical clock: 52
2025-03-05 16:36:23,997 - SEND event to port 5001, logical clock: 53
2025-03-05 16:36:24,166 - SEND event to port 5001, logical clock: 54
2025-03-05 16:36:24,334 - INTERNAL event, logical clock: 55
2025-03-05 16:36:24,503 - SEND event to port 5001, logical clock: 56
2025-03-05 16:36:24,672 - SEND event to port 5002, logical clock: 57
2025-03-05 16:36:24,843 - SEND event to port 5001, logical clock: 58
2025-03-05 16:36:25,012 - SEND event to ALL machines, logical clock: 59
2025-03-05 16:36:25,184 - SEND event to port 5001, logical clock: 60
2025-03-05 16:36:25,354 - SEND event to ALL machines, logical clock: 61
2025-03-05 16:36:25,526 - INTERNAL event, logical clock: 62
2025-03-05 16:36:25,694 - INTERNAL event, logical clock: 63
2025-03-05 16:36:25,866 - SEND event to port 5001, logical clock: 64
2025-03-05 16:36:26,033 - SEND event to ALL machines, logical clock: 65
2025-03-05 16:36:26,205 - SEND event to ALL machines, logical clock: 66
2025-03-05 16:36:26,373 - INTERNAL event, logical clock: 67
2025-03-05 16:36:26,544 - SEND event to port 5002, logical clock: 68
2025-03-05 16:36:26,716 - SEND event to port 5001, logical clock: 69
2025-03-05 16:36:26,884 - SEND event to ALL machines, logical clock: 70
2025-03-05 16:36:27,056 - SEND event to port 5001, logical clock: 71
2025-03-05 16:36:27,228 - SEND event to port 5001, logical clock: 72
2025-03-05 16:36:27,400 - SEND event to port 5002, logical clock: 73
2025-03-05 16:36:27,570 - SEND event to ALL machines, logical clock: 74
2025-03-05 16:36:27,741 - SEND event to ALL machines, logical clock: 75
2025-03-05 16:36:27,913 - SEND event to port 5001, logical clock: 76
2025-03-05 16:36:28,084 - SEND event to ALL machines, logical clock: 77
2025-03-05 16:36:28,256 - SEND event to port 5002, logical clock: 78
2025-03-05 16:36:28,428 - SEND event to ALL machines, logical clock: 79
2025-03-05 16:36:28,600 - SEND event to port 5001, logical clock: 80
2025-03-05 16:36:28,770 - SEND event to port 5002, logical clock: 81
2025-03-05 16:36:28,940 - INTERNAL event, logical clock: 82
2025-03-05 16:36:29,111 - INTERNAL event, logical clock: 83
2025-03-05 16:36:29,280 - SEND event to port 5001, logical clock: 84
2025-03-05 16:36:29,450 - SEND event to port 5001, logical clock: 85
2025-03-05 16:36:29,621 - SEND event to port 5002, logical clock: 86
2025-03-05 16:36:29,792 - SEND event to ALL machines, logical clock: 87
2025-03-05 16:36:29,964 - SEND event to port 5001, logical clock: 88
2025-03-05 16:36:30,132 - INTERNAL event, logical clock: 89
2025-03-05 16:36:30,304 - SEND event to port 5001, logical clock: 90
2025-03-05 16:36:30,475 - SEND event to ALL machines, logical clock: 91
2025-03-05 16:36:30,647 - SEND event to port 5002, logical clock: 92
2025-03-05 16:36:30,819 - SEND event to port 5001, logical clock: 93
2025-03-05 16:36:30,991 - SEND event to ALL machines, logical clock: 94
2025-03-05 16:36:31,161 - SEND event to ALL machines, logical clock: 95
