2025-03-05 16:27:53,325 - Connected to machine on port 5001
2025-03-05 16:27:53,331 - Connected to machine on port 5002
2025-03-05 16:27:53,332 - Machine 2 starting with clock rate 6
2025-03-05 16:27:53,332 - INTERNAL event, logical clock: 1
2025-03-05 16:27:53,504 - INTERNAL event, logical clock: 2
2025-03-05 16:27:53,676 - INTERNAL event, logical clock: 3
2025-03-05 16:27:53,848 - INTERNAL event, logical clock: 4
2025-03-05 16:27:54,019 - INTERNAL event, logical clock: 5
2025-03-05 16:27:54,191 - INTERNAL event, logical clock: 6
2025-03-05 16:27:54,358 - INTERNAL event, logical clock: 7
2025-03-05 16:27:54,529 - INTERNAL event, logical clock: 8
2025-03-05 16:27:54,700 - INTERNAL event, logical clock: 9
2025-03-05 16:27:54,872 - INTERNAL event, logical clock: 10
2025-03-05 16:27:55,040 - INTERNAL event, logical clock: 11
2025-03-05 16:27:55,207 - INTERNAL event, logical clock: 12
2025-03-05 16:27:55,377 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-05 16:27:55,549 - SEND event to ALL machines, logical clock: 14
2025-03-05 16:27:55,715 - SEND event to ALL machines, logical clock: 15
2025-03-05 16:27:55,887 - INTERNAL event, logical clock: 16
2025-03-05 16:27:56,055 - INTERNAL event, logical clock: 17
2025-03-05 16:27:56,227 - INTERNAL event, logical clock: 18
2025-03-05 16:27:56,398 - INTERNAL event, logical clock: 19
2025-03-05 16:27:56,566 - INTERNAL event, logical clock: 20
2025-03-05 16:27:56,737 - INTERNAL event, logical clock: 21
2025-03-05 16:27:56,909 - INTERNAL event, logical clock: 22
2025-03-05 16:27:57,079 - INTERNAL event, logical clock: 23
2025-03-05 16:27:57,246 - SEND event to port 5002, logical clock: 24
2025-03-05 16:27:57,413 - SEND event to port 5001, logical clock: 25
2025-03-05 16:27:57,585 - INTERNAL event, logical clock: 26
2025-03-05 16:27:57,754 - INTERNAL event, logical clock: 27
2025-03-05 16:27:57,924 - INTERNAL event, logical clock: 28
2025-03-05 16:27:58,093 - INTERNAL event, logical clock: 29
2025-03-05 16:27:58,265 - INTERNAL event, logical clock: 30
2025-03-05 16:27:58,432 - INTERNAL event, logical clock: 31
2025-03-05 16:27:58,604 - INTERNAL event, logical clock: 32
2025-03-05 16:27:58,776 - SEND event to port 5002, logical clock: 33
2025-03-05 16:27:58,944 - INTERNAL event, logical clock: 34
2025-03-05 16:27:59,115 - INTERNAL event, logical clock: 35
2025-03-05 16:27:59,287 - INTERNAL event, logical clock: 36
2025-03-05 16:27:59,455 - INTERNAL event, logical clock: 37
2025-03-05 16:27:59,624 - SEND event to port 5001, logical clock: 38
2025-03-05 16:27:59,795 - INTERNAL event, logical clock: 39
2025-03-05 16:27:59,967 - INTERNAL event, logical clock: 40
2025-03-05 16:28:00,138 - RECEIVE event, queue length: 0, logical clock: 41
2025-03-05 16:28:00,310 - INTERNAL event, logical clock: 42
2025-03-05 16:28:00,478 - INTERNAL event, logical clock: 43
2025-03-05 16:28:00,650 - INTERNAL event, logical clock: 44
2025-03-05 16:28:00,818 - SEND event to port 5001, logical clock: 45
2025-03-05 16:28:00,988 - INTERNAL event, logical clock: 46
2025-03-05 16:28:01,160 - INTERNAL event, logical clock: 47
2025-03-05 16:28:01,329 - SEND event to port 5002, logical clock: 48
2025-03-05 16:28:01,500 - INTERNAL event, logical clock: 49
2025-03-05 16:28:01,672 - INTERNAL event, logical clock: 50
2025-03-05 16:28:01,844 - INTERNAL event, logical clock: 51
2025-03-05 16:28:02,016 - INTERNAL event, logical clock: 52
2025-03-05 16:28:02,187 - INTERNAL event, logical clock: 53
2025-03-05 16:28:02,354 - INTERNAL event, logical clock: 54
2025-03-05 16:28:02,526 - RECEIVE event, queue length: 0, logical clock: 55
2025-03-05 16:28:02,698 - INTERNAL event, logical clock: 56
2025-03-05 16:28:02,869 - INTERNAL event, logical clock: 57
2025-03-05 16:28:03,041 - INTERNAL event, logical clock: 58
2025-03-05 16:28:03,213 - INTERNAL event, logical clock: 59
2025-03-05 16:28:03,380 - INTERNAL event, logical clock: 60
2025-03-05 16:28:03,551 - INTERNAL event, logical clock: 61
2025-03-05 16:28:03,723 - INTERNAL event, logical clock: 62
2025-03-05 16:28:03,895 - INTERNAL event, logical clock: 63
2025-03-05 16:28:04,067 - INTERNAL event, logical clock: 64
2025-03-05 16:28:04,238 - INTERNAL event, logical clock: 65
2025-03-05 16:28:04,410 - INTERNAL event, logical clock: 66
2025-03-05 16:28:04,581 - INTERNAL event, logical clock: 67
2025-03-05 16:28:04,753 - INTERNAL event, logical clock: 68
2025-03-05 16:28:04,925 - INTERNAL event, logical clock: 69
2025-03-05 16:28:05,097 - INTERNAL event, logical clock: 70
2025-03-05 16:28:05,268 - SEND event to port 5002, logical clock: 71
2025-03-05 16:28:05,436 - INTERNAL event, logical clock: 72
2025-03-05 16:28:05,608 - INTERNAL event, logical clock: 73
2025-03-05 16:28:05,779 - INTERNAL event, logical clock: 74
2025-03-05 16:28:05,951 - INTERNAL event, logical clock: 75
2025-03-05 16:28:06,123 - INTERNAL event, logical clock: 76
2025-03-05 16:28:06,295 - INTERNAL event, logical clock: 77
2025-03-05 16:28:06,466 - INTERNAL event, logical clock: 78
2025-03-05 16:28:06,634 - INTERNAL event, logical clock: 79
2025-03-05 16:28:06,806 - SEND event to port 5001, logical clock: 80
2025-03-05 16:28:06,975 - SEND event to ALL machines, logical clock: 81
2025-03-05 16:28:07,147 - INTERNAL event, logical clock: 82
2025-03-05 16:28:07,319 - INTERNAL event, logical clock: 83
2025-03-05 16:28:07,490 - SEND event to port 5001, logical clock: 84
2025-03-05 16:28:07,661 - INTERNAL event, logical clock: 85
2025-03-05 16:28:07,833 - INTERNAL event, logical clock: 86
2025-03-05 16:28:08,001 - RECEIVE event, queue length: 0, logical clock: 87
2025-03-05 16:28:08,173 - INTERNAL event, logical clock: 88
2025-03-05 16:28:08,344 - INTERNAL event, logical clock: 89
2025-03-05 16:28:08,516 - INTERNAL event, logical clock: 90
2025-03-05 16:28:08,687 - INTERNAL event, logical clock: 91
2025-03-05 16:28:08,858 - INTERNAL event, logical clock: 92
2025-03-05 16:28:09,030 - INTERNAL event, logical clock: 93
2025-03-05 16:28:09,201 - INTERNAL event, logical clock: 94
2025-03-05 16:28:09,369 - INTERNAL event, logical clock: 95
2025-03-05 16:28:09,541 - INTERNAL event, logical clock: 96
2025-03-05 16:28:09,712 - INTERNAL event, logical clock: 97
2025-03-05 16:28:09,883 - INTERNAL event, logical clock: 98
2025-03-05 16:28:10,055 - SEND event to ALL machines, logical clock: 99
2025-03-05 16:28:10,223 - INTERNAL event, logical clock: 100
