2025-03-04 21:24:13,625 - SEND event to ALL machines, logical clock: 92
2025-03-04 21:24:13,797 - SEND event to port 5002, logical clock: 93
2025-03-04 21:24:13,969 - SEND event to port 5002, logical clock: 94
2025-03-04 21:24:14,141 - SEND event to ALL machines, logical clock: 95
2025-03-04 21:24:14,312 - SEND event to port 5002, logical clock: 96
2025-03-04 21:24:14,483 - SEND event to port 5002, logical clock: 97
2025-03-04 21:24:14,651 - INTERNAL event, logical clock: 98
2025-03-04 21:24:14,822 - RECEIVE event, queue length: 0, logical clock: 99
2025-03-04 21:24:14,994 - SEND event to ALL machines, logical clock: 100
2025-03-04 21:24:15,166 - SEND event to port 5001, logical clock: 101
2025-03-04 21:24:15,335 - SEND event to port 5001, logical clock: 102
2025-03-04 21:24:15,504 - SEND event to ALL machines, logical clock: 103
2025-03-04 21:24:15,676 - SEND event to ALL machines, logical clock: 104
2025-03-04 21:24:15,844 - SEND event to port 5002, logical clock: 105
2025-03-04 21:24:16,016 - SEND event to ALL machines, logical clock: 106
2025-03-04 21:24:16,186 - SEND event to port 5001, logical clock: 107
2025-03-04 21:24:16,358 - SEND event to port 5001, logical clock: 108
2025-03-04 21:24:16,529 - SEND event to ALL machines, logical clock: 109
2025-03-04 21:24:16,700 - SEND event to port 5001, logical clock: 110
2025-03-04 21:24:16,871 - SEND event to ALL machines, logical clock: 111
2025-03-04 21:24:17,043 - SEND event to ALL machines, logical clock: 112
2025-03-04 21:24:17,215 - SEND event to port 5001, logical clock: 113
2025-03-04 21:24:17,386 - SEND event to port 5002, logical clock: 114
2025-03-04 21:24:17,557 - SEND event to port 5001, logical clock: 115
2025-03-04 21:24:17,724 - INTERNAL event, logical clock: 116
2025-03-04 21:24:17,895 - SEND event to port 5002, logical clock: 117
2025-03-04 21:24:18,066 - SEND event to port 5002, logical clock: 118
2025-03-04 21:24:18,235 - SEND event to port 5002, logical clock: 119
2025-03-04 21:24:18,407 - SEND event to ALL machines, logical clock: 120
2025-03-04 21:24:18,578 - SEND event to ALL machines, logical clock: 121
2025-03-04 21:24:18,746 - SEND event to port 5001, logical clock: 122
2025-03-04 21:24:18,917 - SEND event to ALL machines, logical clock: 123
2025-03-04 21:24:19,089 - SEND event to ALL machines, logical clock: 124
2025-03-04 21:24:19,261 - SEND event to ALL machines, logical clock: 125
2025-03-04 21:24:19,433 - SEND event to port 5001, logical clock: 126
2025-03-04 21:24:19,600 - SEND event to port 5002, logical clock: 127
2025-03-04 21:24:19,766 - SEND event to port 5002, logical clock: 128
2025-03-04 21:24:19,938 - SEND event to ALL machines, logical clock: 129
2025-03-04 21:24:20,110 - SEND event to port 5001, logical clock: 130
2025-03-04 21:24:20,281 - SEND event to ALL machines, logical clock: 131
2025-03-04 21:24:20,453 - SEND event to ALL machines, logical clock: 132
2025-03-04 21:24:20,624 - SEND event to ALL machines, logical clock: 133
2025-03-04 21:24:20,795 - SEND event to port 5002, logical clock: 134
