2025-03-04 21:22:56,255 - Connected to machine on port 5002
2025-03-04 21:22:56,257 - Connected to machine on port 5003
2025-03-04 21:22:56,257 - Machine 0 starting with clock rate 3
2025-03-04 21:22:56,258 - SEND event to ALL machines, logical clock: 1
2025-03-04 21:22:56,596 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-04 21:22:56,934 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-04 21:22:57,272 - RECEIVE event, queue length: 0, logical clock: 4
2025-03-04 21:22:57,606 - RECEIVE event, queue length: 0, logical clock: 5
2025-03-04 21:22:57,945 - SEND event to ALL machines, logical clock: 6
2025-03-04 21:22:58,279 - SEND event to port 5002, logical clock: 7
2025-03-04 21:22:58,617 - RECEIVE event, queue length: 0, logical clock: 9
2025-03-04 21:22:58,950 - RECEIVE event, queue length: 0, logical clock: 10
2025-03-04 21:22:59,284 - RECEIVE event, queue length: 0, logical clock: 11
2025-03-04 21:22:59,622 - RECEIVE event, queue length: 0, logical clock: 12
2025-03-04 21:22:59,958 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-04 21:23:00,296 - SEND event to port 5002, logical clock: 14
2025-03-04 21:23:00,631 - RECEIVE event, queue length: 0, logical clock: 16
2025-03-04 21:23:00,969 - SEND event to port 5002, logical clock: 17
2025-03-04 21:23:01,307 - SEND event to ALL machines, logical clock: 18
2025-03-04 21:23:01,646 - SEND event to port 5002, logical clock: 19
2025-03-04 21:23:01,984 - RECEIVE event, queue length: 0, logical clock: 21
2025-03-04 21:23:02,320 - SEND event to ALL machines, logical clock: 22
2025-03-04 21:23:02,654 - SEND event to ALL machines, logical clock: 23
2025-03-04 21:23:02,987 - SEND event to port 5003, logical clock: 24
2025-03-04 21:23:03,326 - SEND event to port 5002, logical clock: 25
2025-03-04 21:23:03,664 - SEND event to port 5002, logical clock: 26
2025-03-04 21:23:04,001 - RECEIVE event, queue length: 0, logical clock: 28
2025-03-04 21:23:04,339 - SEND event to port 5003, logical clock: 29
2025-03-04 21:23:04,677 - SEND event to ALL machines, logical clock: 30
2025-03-04 21:23:05,015 - SEND event to port 5003, logical clock: 31
2025-03-04 21:23:05,351 - SEND event to ALL machines, logical clock: 32
2025-03-04 21:23:05,689 - INTERNAL event, logical clock: 33
2025-03-04 21:23:06,027 - RECEIVE event, queue length: 0, logical clock: 35
2025-03-04 21:23:06,365 - RECEIVE event, queue length: 0, logical clock: 36
2025-03-04 21:23:06,704 - SEND event to port 5003, logical clock: 37
2025-03-04 21:23:07,041 - INTERNAL event, logical clock: 38
2025-03-04 21:23:07,377 - SEND event to port 5002, logical clock: 39
2025-03-04 21:23:07,714 - SEND event to port 5003, logical clock: 40
2025-03-04 21:23:08,049 - SEND event to port 5002, logical clock: 41
2025-03-04 21:23:08,387 - SEND event to port 5003, logical clock: 42
2025-03-04 21:23:08,724 - RECEIVE event, queue length: 0, logical clock: 44
2025-03-04 21:23:09,058 - SEND event to port 5002, logical clock: 45
2025-03-04 21:23:09,397 - SEND event to port 5002, logical clock: 46
2025-03-04 21:23:09,735 - RECEIVE event, queue length: 0, logical clock: 47
2025-03-04 21:23:10,073 - RECEIVE event, queue length: 0, logical clock: 48
2025-03-04 21:23:10,411 - RECEIVE event, queue length: 1, logical clock: 49
2025-03-04 21:23:10,745 - RECEIVE event, queue length: 1, logical clock: 50
2025-03-04 21:23:11,079 - RECEIVE event, queue length: 0, logical clock: 51
2025-03-04 21:23:11,417 - RECEIVE event, queue length: 0, logical clock: 53
2025-03-04 21:23:11,755 - SEND event to ALL machines, logical clock: 54
2025-03-04 21:23:12,093 - INTERNAL event, logical clock: 55
2025-03-04 21:23:12,430 - RECEIVE event, queue length: 1, logical clock: 57
2025-03-04 21:23:12,765 - RECEIVE event, queue length: 1, logical clock: 58
2025-03-04 21:23:13,100 - RECEIVE event, queue length: 1, logical clock: 59
2025-03-04 21:23:13,435 - RECEIVE event, queue length: 1, logical clock: 60
2025-03-04 21:23:13,773 - RECEIVE event, queue length: 2, logical clock: 61
2025-03-04 21:23:14,111 - RECEIVE event, queue length: 2, logical clock: 62
2025-03-04 21:23:14,450 - RECEIVE event, queue length: 1, logical clock: 63
2025-03-04 21:23:14,788 - RECEIVE event, queue length: 0, logical clock: 64
2025-03-04 21:23:15,127 - SEND event to port 5003, logical clock: 65
2025-03-04 21:23:15,462 - SEND event to ALL machines, logical clock: 66
2025-03-04 21:23:15,801 - SEND event to ALL machines, logical clock: 67
2025-03-04 21:23:16,135 - SEND event to port 5002, logical clock: 68
2025-03-04 21:23:16,471 - SEND event to ALL machines, logical clock: 69
2025-03-04 21:23:16,808 - SEND event to port 5003, logical clock: 70
2025-03-04 21:23:17,146 - RECEIVE event, queue length: 0, logical clock: 72
2025-03-04 21:23:17,481 - RECEIVE event, queue length: 0, logical clock: 73
2025-03-04 21:23:17,816 - RECEIVE event, queue length: 0, logical clock: 74
2025-03-04 21:23:18,152 - SEND event to port 5003, logical clock: 75
2025-03-04 21:23:18,490 - RECEIVE event, queue length: 0, logical clock: 76
2025-03-04 21:23:18,829 - RECEIVE event, queue length: 0, logical clock: 77
2025-03-04 21:23:19,163 - RECEIVE event, queue length: 0, logical clock: 78
2025-03-04 21:23:19,502 - RECEIVE event, queue length: 1, logical clock: 79
2025-03-04 21:23:19,837 - RECEIVE event, queue length: 0, logical clock: 80
2025-03-04 21:23:20,175 - RECEIVE event, queue length: 0, logical clock: 81
2025-03-04 21:23:20,512 - SEND event to port 5003, logical clock: 82
2025-03-04 21:23:20,846 - RECEIVE event, queue length: 0, logical clock: 83
2025-03-04 21:23:21,183 - SEND event to port 5003, logical clock: 84
2025-03-04 21:23:21,519 - SEND event to port 5003, logical clock: 85
2025-03-04 21:23:21,856 - RECEIVE event, queue length: 0, logical clock: 86
2025-03-04 21:23:22,193 - RECEIVE event, queue length: 0, logical clock: 87
2025-03-04 21:23:22,531 - RECEIVE event, queue length: 0, logical clock: 88
2025-03-04 21:23:22,869 - SEND event to port 5003, logical clock: 89
2025-03-04 21:23:23,203 - RECEIVE event, queue length: 0, logical clock: 90
2025-03-04 21:23:23,541 - RECEIVE event, queue length: 0, logical clock: 91
2025-03-04 21:23:23,880 - SEND event to ALL machines, logical clock: 92
2025-03-04 21:23:24,214 - SEND event to ALL machines, logical clock: 93
2025-03-04 21:23:24,552 - SEND event to port 5003, logical clock: 94
2025-03-04 21:23:24,890 - RECEIVE event, queue length: 0, logical clock: 96
2025-03-04 21:23:25,229 - SEND event to port 5003, logical clock: 97
2025-03-04 21:23:25,567 - INTERNAL event, logical clock: 98
2025-03-04 21:23:25,903 - RECEIVE event, queue length: 0, logical clock: 99
2025-03-04 21:23:26,241 - RECEIVE event, queue length: 0, logical clock: 100
2025-03-04 21:23:26,580 - RECEIVE event, queue length: 0, logical clock: 101
2025-03-04 21:23:26,915 - RECEIVE event, queue length: 0, logical clock: 102
2025-03-04 21:23:27,253 - SEND event to port 5003, logical clock: 103
2025-03-04 21:23:27,588 - RECEIVE event, queue length: 0, logical clock: 104
2025-03-04 21:23:27,922 - SEND event to ALL machines, logical clock: 105
2025-03-04 21:23:28,258 - SEND event to port 5003, logical clock: 106
2025-03-04 21:23:28,596 - SEND event to port 5003, logical clock: 107
2025-03-04 21:23:28,930 - RECEIVE event, queue length: 0, logical clock: 109
2025-03-04 21:23:29,264 - SEND event to port 5002, logical clock: 110
2025-03-04 21:23:29,598 - SEND event to port 5003, logical clock: 111
2025-03-04 21:23:29,937 - SEND event to port 5003, logical clock: 112
2025-03-04 21:23:30,273 - RECEIVE event, queue length: 0, logical clock: 114
2025-03-04 21:23:30,611 - SEND event to port 5002, logical clock: 115
2025-03-04 21:23:30,945 - RECEIVE event, queue length: 0, logical clock: 116
2025-03-04 21:23:31,283 - RECEIVE event, queue length: 0, logical clock: 117
2025-03-04 21:23:31,622 - SEND event to ALL machines, logical clock: 118
2025-03-04 21:23:31,958 - SEND event to ALL machines, logical clock: 119
2025-03-04 21:23:32,295 - SEND event to port 5002, logical clock: 120
2025-03-04 21:23:32,633 - SEND event to ALL machines, logical clock: 121
2025-03-04 21:23:32,968 - SEND event to port 5002, logical clock: 122
2025-03-04 21:23:33,305 - RECEIVE event, queue length: 0, logical clock: 124
2025-03-04 21:23:33,642 - RECEIVE event, queue length: 0, logical clock: 125
2025-03-04 21:23:33,980 - RECEIVE event, queue length: 0, logical clock: 126
2025-03-04 21:23:34,316 - SEND event to port 5002, logical clock: 127
2025-03-04 21:23:34,655 - RECEIVE event, queue length: 0, logical clock: 128
2025-03-04 21:23:34,990 - RECEIVE event, queue length: 0, logical clock: 129
2025-03-04 21:23:35,325 - RECEIVE event, queue length: 0, logical clock: 130
2025-03-04 21:23:35,660 - SEND event to ALL machines, logical clock: 131
2025-03-04 21:23:35,998 - SEND event to port 5003, logical clock: 132
2025-03-04 21:23:36,333 - SEND event to ALL machines, logical clock: 133
2025-03-04 21:23:36,670 - SEND event to ALL machines, logical clock: 134
2025-03-04 21:23:37,007 - INTERNAL event, logical clock: 135
2025-03-04 21:23:37,346 - SEND event to port 5003, logical clock: 136
2025-03-04 21:23:37,684 - RECEIVE event, queue length: 0, logical clock: 138
2025-03-04 21:23:38,019 - SEND event to port 5002, logical clock: 139
2025-03-04 21:23:38,356 - SEND event to ALL machines, logical clock: 140
2025-03-04 21:23:38,694 - SEND event to ALL machines, logical clock: 141
2025-03-04 21:23:39,031 - SEND event to ALL machines, logical clock: 142
2025-03-04 21:23:39,369 - SEND event to port 5002, logical clock: 143
2025-03-04 21:23:39,708 - RECEIVE event, queue length: 0, logical clock: 145
2025-03-04 21:23:40,046 - RECEIVE event, queue length: 0, logical clock: 146
2025-03-04 21:23:40,383 - RECEIVE event, queue length: 0, logical clock: 147
2025-03-04 21:23:40,721 - RECEIVE event, queue length: 0, logical clock: 148
2025-03-04 21:23:41,059 - SEND event to port 5002, logical clock: 149
2025-03-04 21:23:41,397 - RECEIVE event, queue length: 0, logical clock: 150
2025-03-04 21:23:41,734 - RECEIVE event, queue length: 0, logical clock: 151
2025-03-04 21:23:42,072 - RECEIVE event, queue length: 0, logical clock: 152
2025-03-04 21:23:42,408 - SEND event to ALL machines, logical clock: 153
2025-03-04 21:23:42,742 - SEND event to port 5002, logical clock: 154
2025-03-04 21:23:43,079 - SEND event to port 5003, logical clock: 155
2025-03-04 21:23:43,417 - SEND event to ALL machines, logical clock: 156
2025-03-04 21:23:43,755 - SEND event to port 5003, logical clock: 157
2025-03-04 21:23:44,091 - RECEIVE event, queue length: 0, logical clock: 159
2025-03-04 21:23:44,424 - RECEIVE event, queue length: 0, logical clock: 160
2025-03-04 21:23:44,762 - RECEIVE event, queue length: 0, logical clock: 161
2025-03-04 21:23:45,099 - INTERNAL event, logical clock: 162
2025-03-04 21:23:45,436 - RECEIVE event, queue length: 0, logical clock: 163
2025-03-04 21:23:45,770 - RECEIVE event, queue length: 0, logical clock: 164
2025-03-04 21:23:46,108 - RECEIVE event, queue length: 0, logical clock: 165
2025-03-04 21:23:46,446 - RECEIVE event, queue length: 1, logical clock: 166
2025-03-04 21:23:46,784 - RECEIVE event, queue length: 1, logical clock: 167
2025-03-04 21:23:47,123 - RECEIVE event, queue length: 0, logical clock: 168
2025-03-04 21:23:47,456 - RECEIVE event, queue length: 1, logical clock: 169
2025-03-04 21:23:47,793 - RECEIVE event, queue length: 0, logical clock: 170
2025-03-04 21:23:48,129 - RECEIVE event, queue length: 0, logical clock: 172
2025-03-04 21:23:48,466 - SEND event to port 5003, logical clock: 173
2025-03-04 21:23:48,804 - SEND event to port 5002, logical clock: 174
2025-03-04 21:23:49,141 - SEND event to port 5003, logical clock: 175
2025-03-04 21:23:49,480 - SEND event to port 5002, logical clock: 176
2025-03-04 21:23:49,814 - SEND event to ALL machines, logical clock: 177
2025-03-04 21:23:50,152 - SEND event to ALL machines, logical clock: 178
2025-03-04 21:23:50,489 - SEND event to port 5003, logical clock: 179
2025-03-04 21:23:50,827 - SEND event to port 5003, logical clock: 180
2025-03-04 21:23:51,165 - SEND event to port 5003, logical clock: 181
2025-03-04 21:23:51,499 - RECEIVE event, queue length: 0, logical clock: 183
2025-03-04 21:23:51,836 - SEND event to port 5003, logical clock: 184
2025-03-04 21:23:52,174 - RECEIVE event, queue length: 0, logical clock: 185
2025-03-04 21:23:52,512 - RECEIVE event, queue length: 0, logical clock: 186
2025-03-04 21:23:52,850 - RECEIVE event, queue length: 0, logical clock: 187
2025-03-04 21:23:53,186 - RECEIVE event, queue length: 0, logical clock: 188
2025-03-04 21:23:53,522 - RECEIVE event, queue length: 0, logical clock: 189
