2025-03-04 21:25:00,279 - Connected to machine on port 5001
2025-03-04 21:25:00,283 - Connected to machine on port 5002
2025-03-04 21:25:00,284 - Machine 2 starting with clock rate 6
2025-03-04 21:25:00,285 - SEND event to ALL machines, logical clock: 1
2025-03-04 21:25:00,452 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-04 21:25:00,622 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-04 21:25:00,793 - SEND event to ALL machines, logical clock: 4
2025-03-04 21:25:00,965 - SEND event to port 5002, logical clock: 5
2025-03-04 21:25:01,137 - SEND event to port 5002, logical clock: 6
2025-03-04 21:25:01,307 - SEND event to port 5002, logical clock: 7
2025-03-04 21:25:01,476 - SEND event to port 5002, logical clock: 8
2025-03-04 21:25:01,645 - SEND event to port 5001, logical clock: 9
2025-03-04 21:25:01,816 - SEND event to port 5001, logical clock: 10
2025-03-04 21:25:01,986 - SEND event to port 5002, logical clock: 11
2025-03-04 21:25:02,154 - SEND event to ALL machines, logical clock: 12
2025-03-04 21:25:02,326 - SEND event to port 5001, logical clock: 13
2025-03-04 21:25:02,498 - SEND event to port 5002, logical clock: 14
2025-03-04 21:25:02,668 - SEND event to ALL machines, logical clock: 15
2025-03-04 21:25:02,840 - SEND event to port 5001, logical clock: 16
2025-03-04 21:25:03,011 - SEND event to ALL machines, logical clock: 17
2025-03-04 21:25:03,183 - SEND event to port 5001, logical clock: 18
2025-03-04 21:25:03,354 - SEND event to port 5002, logical clock: 19
2025-03-04 21:25:03,526 - SEND event to ALL machines, logical clock: 20
2025-03-04 21:25:03,698 - SEND event to port 5001, logical clock: 21
2025-03-04 21:25:03,870 - SEND event to ALL machines, logical clock: 22
2025-03-04 21:25:04,041 - SEND event to port 5001, logical clock: 23
2025-03-04 21:25:04,213 - SEND event to port 5002, logical clock: 24
2025-03-04 21:25:04,385 - SEND event to port 5001, logical clock: 25
2025-03-04 21:25:04,555 - SEND event to port 5001, logical clock: 26
2025-03-04 21:25:04,727 - SEND event to port 5001, logical clock: 27
2025-03-04 21:25:04,899 - SEND event to port 5001, logical clock: 28
2025-03-04 21:25:05,068 - INTERNAL event, logical clock: 29
2025-03-04 21:25:05,240 - SEND event to ALL machines, logical clock: 30
2025-03-04 21:25:05,407 - SEND event to ALL machines, logical clock: 31
2025-03-04 21:25:05,578 - SEND event to ALL machines, logical clock: 32
2025-03-04 21:25:05,750 - SEND event to port 5002, logical clock: 33
2025-03-04 21:25:05,922 - SEND event to ALL machines, logical clock: 34
2025-03-04 21:25:06,090 - SEND event to port 5001, logical clock: 35
2025-03-04 21:25:06,262 - SEND event to port 5001, logical clock: 36
2025-03-04 21:25:06,433 - INTERNAL event, logical clock: 37
