2025-03-04 23:07:44,202 - Connected to machine on port 5001
2025-03-04 23:07:44,203 - Connected to machine on port 5002
2025-03-04 23:07:44,203 - Machine 2 starting with clock rate 2
2025-03-04 23:07:44,204 - SEND event to ALL machines, logical clock: 1
2025-03-04 23:08:24,007 - RECEIVE event, queue length: 47, logical clock: 127
2025-03-04 23:08:24,509 - RECEIVE event, queue length: 48, logical clock: 129
2025-03-04 23:08:25,012 - RECEIVE event, queue length: 48, logical clock: 130
2025-03-04 23:08:25,513 - RECEIVE event, queue length: 48, logical clock: 131
2025-03-04 23:08:26,018 - RECEIVE event, queue length: 49, logical clock: 132
2025-03-04 23:08:26,521 - RECEIVE event, queue length: 48, logical clock: 133
2025-03-04 23:08:27,023 - RECEIVE event, queue length: 49, logical clock: 134
2025-03-04 23:08:27,528 - RECEIVE event, queue length: 50, logical clock: 135
2025-03-04 23:08:28,032 - RECEIVE event, queue length: 51, logical clock: 136
2025-03-04 23:08:28,537 - RECEIVE event, queue length: 50, logical clock: 138
2025-03-04 23:08:29,042 - RECEIVE event, queue length: 51, logical clock: 139
2025-03-04 23:08:29,547 - RECEIVE event, queue length: 51, logical clock: 140
2025-03-04 23:08:30,051 - RECEIVE event, queue length: 51, logical clock: 141
2025-03-04 23:08:30,552 - RECEIVE event, queue length: 53, logical clock: 145
2025-03-04 23:08:31,056 - RECEIVE event, queue length: 52, logical clock: 146
2025-03-04 23:08:31,561 - RECEIVE event, queue length: 53, logical clock: 147
2025-03-04 23:08:32,066 - RECEIVE event, queue length: 52, logical clock: 148
2025-03-04 23:08:32,570 - RECEIVE event, queue length: 52, logical clock: 149
2025-03-04 23:08:33,075 - RECEIVE event, queue length: 51, logical clock: 152
2025-03-04 23:08:33,580 - RECEIVE event, queue length: 53, logical clock: 153
2025-03-04 23:08:34,085 - RECEIVE event, queue length: 53, logical clock: 154
2025-03-04 23:08:34,590 - RECEIVE event, queue length: 53, logical clock: 155
2025-03-04 23:08:35,093 - RECEIVE event, queue length: 54, logical clock: 156
2025-03-04 23:08:35,598 - RECEIVE event, queue length: 55, logical clock: 161
2025-03-04 23:08:36,103 - RECEIVE event, queue length: 56, logical clock: 162
