2025-03-04 21:23:58,264 - Connected to machine on port 5002
2025-03-04 21:23:58,267 - Connected to machine on port 5003
2025-03-04 21:23:58,268 - Machine 0 starting with clock rate 4
2025-03-04 21:23:58,268 - SEND event to ALL machines, logical clock: 1
2025-03-04 21:23:58,519 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-04 21:23:58,774 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-04 21:23:59,024 - RECEIVE event, queue length: 0, logical clock: 6
2025-03-04 21:23:59,279 - INTERNAL event, logical clock: 7
2025-03-04 21:23:59,530 - RECEIVE event, queue length: 0, logical clock: 8
2025-03-04 21:23:59,781 - RECEIVE event, queue length: 1, logical clock: 9
2025-03-04 21:24:00,036 - RECEIVE event, queue length: 0, logical clock: 10
2025-03-04 21:24:00,290 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-04 21:24:00,545 - RECEIVE event, queue length: 0, logical clock: 14
2025-03-04 21:24:00,800 - SEND event to ALL machines, logical clock: 15
2025-03-04 21:24:01,052 - RECEIVE event, queue length: 0, logical clock: 18
2025-03-04 21:24:01,306 - SEND event to port 5003, logical clock: 19
2025-03-04 21:24:01,561 - RECEIVE event, queue length: 0, logical clock: 22
2025-03-04 21:24:01,816 - RECEIVE event, queue length: 0, logical clock: 23
2025-03-04 21:24:02,072 - RECEIVE event, queue length: 1, logical clock: 24
2025-03-04 21:24:02,324 - RECEIVE event, queue length: 0, logical clock: 25
2025-03-04 21:24:02,579 - RECEIVE event, queue length: 1, logical clock: 27
2025-03-04 21:24:02,834 - RECEIVE event, queue length: 0, logical clock: 28
2025-03-04 21:24:03,089 - RECEIVE event, queue length: 1, logical clock: 30
2025-03-04 21:24:03,344 - RECEIVE event, queue length: 0, logical clock: 31
2025-03-04 21:24:03,594 - RECEIVE event, queue length: 1, logical clock: 33
2025-03-04 21:24:03,848 - RECEIVE event, queue length: 1, logical clock: 34
2025-03-04 21:24:04,103 - RECEIVE event, queue length: 1, logical clock: 35
2025-03-04 21:24:04,358 - RECEIVE event, queue length: 0, logical clock: 37
2025-03-04 21:24:04,613 - RECEIVE event, queue length: 1, logical clock: 39
2025-03-04 21:24:04,864 - RECEIVE event, queue length: 0, logical clock: 40
2025-03-04 21:24:05,119 - RECEIVE event, queue length: 0, logical clock: 43
2025-03-04 21:24:05,373 - INTERNAL event, logical clock: 44
2025-03-04 21:24:05,628 - RECEIVE event, queue length: 1, logical clock: 45
2025-03-04 21:24:05,883 - RECEIVE event, queue length: 0, logical clock: 46
2025-03-04 21:24:06,138 - RECEIVE event, queue length: 1, logical clock: 48
2025-03-04 21:24:06,389 - RECEIVE event, queue length: 1, logical clock: 49
2025-03-04 21:24:06,641 - RECEIVE event, queue length: 2, logical clock: 50
2025-03-04 21:24:06,896 - RECEIVE event, queue length: 2, logical clock: 51
2025-03-04 21:24:07,151 - RECEIVE event, queue length: 2, logical clock: 52
2025-03-04 21:24:07,406 - RECEIVE event, queue length: 2, logical clock: 53
2025-03-04 21:24:07,660 - RECEIVE event, queue length: 2, logical clock: 54
2025-03-04 21:24:07,915 - RECEIVE event, queue length: 2, logical clock: 56
2025-03-04 21:24:08,167 - RECEIVE event, queue length: 2, logical clock: 57
2025-03-04 21:24:08,422 - RECEIVE event, queue length: 2, logical clock: 59
2025-03-04 21:24:08,677 - RECEIVE event, queue length: 2, logical clock: 61
2025-03-04 21:24:08,932 - RECEIVE event, queue length: 2, logical clock: 62
2025-03-04 21:24:09,185 - RECEIVE event, queue length: 2, logical clock: 64
2025-03-04 21:24:09,440 - RECEIVE event, queue length: 1, logical clock: 65
2025-03-04 21:24:09,690 - RECEIVE event, queue length: 1, logical clock: 67
2025-03-04 21:24:09,946 - RECEIVE event, queue length: 2, logical clock: 69
2025-03-04 21:24:10,196 - RECEIVE event, queue length: 2, logical clock: 70
2025-03-04 21:24:10,448 - RECEIVE event, queue length: 2, logical clock: 71
2025-03-04 21:24:10,700 - RECEIVE event, queue length: 2, logical clock: 72
2025-03-04 21:24:10,955 - RECEIVE event, queue length: 2, logical clock: 74
2025-03-04 21:24:11,209 - RECEIVE event, queue length: 2, logical clock: 75
2025-03-04 21:24:11,461 - RECEIVE event, queue length: 2, logical clock: 77
2025-03-04 21:24:11,716 - RECEIVE event, queue length: 1, logical clock: 78
2025-03-04 21:24:11,966 - RECEIVE event, queue length: 1, logical clock: 80
2025-03-04 21:24:12,221 - RECEIVE event, queue length: 1, logical clock: 82
2025-03-04 21:24:12,476 - RECEIVE event, queue length: 2, logical clock: 84
2025-03-04 21:24:12,727 - RECEIVE event, queue length: 1, logical clock: 85
2025-03-04 21:24:12,982 - RECEIVE event, queue length: 2, logical clock: 86
2025-03-04 21:24:13,237 - RECEIVE event, queue length: 2, logical clock: 88
2025-03-04 21:24:13,490 - RECEIVE event, queue length: 2, logical clock: 89
2025-03-04 21:24:13,741 - RECEIVE event, queue length: 2, logical clock: 90
2025-03-04 21:24:13,993 - RECEIVE event, queue length: 1, logical clock: 91
2025-03-04 21:24:14,248 - RECEIVE event, queue length: 1, logical clock: 93
2025-03-04 21:24:14,503 - RECEIVE event, queue length: 0, logical clock: 96
2025-03-04 21:24:14,757 - SEND event to ALL machines, logical clock: 97
2025-03-04 21:24:15,011 - RECEIVE event, queue length: 0, logical clock: 101
2025-03-04 21:24:15,266 - RECEIVE event, queue length: 0, logical clock: 102
