2025-03-04 21:22:56,255 - Connected to machine on port 5001
2025-03-04 21:22:56,257 - Connected to machine on port 5003
2025-03-04 21:22:56,257 - Machine 1 starting with clock rate 3
2025-03-04 21:22:56,258 - SEND event to ALL machines, logical clock: 1
2025-03-04 21:22:56,596 - RECEIVE event, queue length: 0, logical clock: 2
2025-03-04 21:22:56,934 - SEND event to port 5001, logical clock: 3
2025-03-04 21:22:57,272 - SEND event to port 5001, logical clock: 4
2025-03-04 21:22:57,611 - RECEIVE event, queue length: 0, logical clock: 6
2025-03-04 21:22:57,947 - RECEIVE event, queue length: 0, logical clock: 7
2025-03-04 21:22:58,284 - RECEIVE event, queue length: 1, logical clock: 8
2025-03-04 21:22:58,617 - RECEIVE event, queue length: 0, logical clock: 9
2025-03-04 21:22:58,951 - SEND event to ALL machines, logical clock: 10
2025-03-04 21:22:59,289 - SEND event to ALL machines, logical clock: 11
2025-03-04 21:22:59,623 - SEND event to ALL machines, logical clock: 12
2025-03-04 21:22:59,958 - INTERNAL event, logical clock: 13
2025-03-04 21:23:00,296 - INTERNAL event, logical clock: 14
2025-03-04 21:23:00,632 - RECEIVE event, queue length: 0, logical clock: 15
2025-03-04 21:23:00,970 - RECEIVE event, queue length: 1, logical clock: 17
2025-03-04 21:23:01,308 - RECEIVE event, queue length: 2, logical clock: 18
2025-03-04 21:23:01,647 - RECEIVE event, queue length: 2, logical clock: 19
2025-03-04 21:23:01,985 - RECEIVE event, queue length: 1, logical clock: 20
2025-03-04 21:23:02,320 - RECEIVE event, queue length: 0, logical clock: 21
2025-03-04 21:23:02,659 - RECEIVE event, queue length: 1, logical clock: 23
2025-03-04 21:23:02,996 - RECEIVE event, queue length: 0, logical clock: 24
2025-03-04 21:23:03,334 - RECEIVE event, queue length: 0, logical clock: 26
2025-03-04 21:23:03,667 - RECEIVE event, queue length: 1, logical clock: 27
2025-03-04 21:23:04,003 - RECEIVE event, queue length: 0, logical clock: 28
2025-03-04 21:23:04,340 - RECEIVE event, queue length: 0, logical clock: 29
2025-03-04 21:23:04,679 - RECEIVE event, queue length: 0, logical clock: 31
2025-03-04 21:23:05,015 - INTERNAL event, logical clock: 32
2025-03-04 21:23:05,353 - RECEIVE event, queue length: 0, logical clock: 33
2025-03-04 21:23:05,691 - SEND event to port 5003, logical clock: 34
2025-03-04 21:23:06,028 - SEND event to port 5001, logical clock: 35
2025-03-04 21:23:06,366 - RECEIVE event, queue length: 0, logical clock: 37
2025-03-04 21:23:06,705 - RECEIVE event, queue length: 0, logical clock: 38
2025-03-04 21:23:07,039 - SEND event to port 5003, logical clock: 39
2025-03-04 21:23:07,377 - SEND event to port 5003, logical clock: 40
2025-03-04 21:23:07,712 - RECEIVE event, queue length: 0, logical clock: 41
2025-03-04 21:23:08,050 - RECEIVE event, queue length: 0, logical clock: 42
2025-03-04 21:23:08,388 - SEND event to port 5001, logical clock: 43
2025-03-04 21:23:08,725 - SEND event to port 5003, logical clock: 44
2025-03-04 21:23:09,058 - INTERNAL event, logical clock: 45
2025-03-04 21:23:09,395 - RECEIVE event, queue length: 0, logical clock: 46
2025-03-04 21:23:09,734 - RECEIVE event, queue length: 1, logical clock: 47
2025-03-04 21:23:10,070 - RECEIVE event, queue length: 0, logical clock: 48
2025-03-04 21:23:10,404 - SEND event to ALL machines, logical clock: 49
2025-03-04 21:23:10,743 - SEND event to port 5001, logical clock: 50
2025-03-04 21:23:11,081 - RECEIVE event, queue length: 0, logical clock: 52
2025-03-04 21:23:11,419 - SEND event to port 5003, logical clock: 53
2025-03-04 21:23:11,755 - RECEIVE event, queue length: 0, logical clock: 55
2025-03-04 21:23:12,093 - SEND event to port 5001, logical clock: 56
2025-03-04 21:23:12,431 - RECEIVE event, queue length: 0, logical clock: 58
2025-03-04 21:23:12,770 - RECEIVE event, queue length: 0, logical clock: 59
2025-03-04 21:23:13,107 - RECEIVE event, queue length: 0, logical clock: 60
2025-03-04 21:23:13,444 - SEND event to ALL machines, logical clock: 61
2025-03-04 21:23:13,782 - SEND event to ALL machines, logical clock: 62
2025-03-04 21:23:14,116 - SEND event to port 5003, logical clock: 63
2025-03-04 21:23:14,453 - SEND event to port 5003, logical clock: 64
2025-03-04 21:23:14,790 - SEND event to port 5003, logical clock: 65
2025-03-04 21:23:15,124 - SEND event to port 5003, logical clock: 66
2025-03-04 21:23:15,462 - RECEIVE event, queue length: 0, logical clock: 67
2025-03-04 21:23:15,801 - RECEIVE event, queue length: 0, logical clock: 68
2025-03-04 21:23:16,139 - RECEIVE event, queue length: 0, logical clock: 69
2025-03-04 21:23:16,478 - RECEIVE event, queue length: 0, logical clock: 70
2025-03-04 21:23:16,812 - SEND event to ALL machines, logical clock: 71
2025-03-04 21:23:17,147 - SEND event to ALL machines, logical clock: 72
2025-03-04 21:23:17,485 - SEND event to ALL machines, logical clock: 73
2025-03-04 21:23:17,819 - SEND event to port 5003, logical clock: 74
2025-03-04 21:23:18,157 - SEND event to ALL machines, logical clock: 75
2025-03-04 21:23:18,496 - SEND event to port 5001, logical clock: 76
2025-03-04 21:23:18,834 - SEND event to port 5001, logical clock: 77
2025-03-04 21:23:19,168 - SEND event to port 5001, logical clock: 78
2025-03-04 21:23:19,502 - SEND event to port 5003, logical clock: 79
2025-03-04 21:23:19,837 - SEND event to ALL machines, logical clock: 80
2025-03-04 21:23:20,176 - SEND event to port 5003, logical clock: 81
2025-03-04 21:23:20,512 - SEND event to port 5001, logical clock: 82
2025-03-04 21:23:20,849 - SEND event to port 5003, logical clock: 83
2025-03-04 21:23:21,184 - SEND event to port 5003, logical clock: 84
2025-03-04 21:23:21,522 - SEND event to port 5001, logical clock: 85
2025-03-04 21:23:21,856 - SEND event to ALL machines, logical clock: 86
2025-03-04 21:23:22,194 - SEND event to port 5001, logical clock: 87
2025-03-04 21:23:22,532 - SEND event to port 5003, logical clock: 88
2025-03-04 21:23:22,871 - SEND event to ALL machines, logical clock: 89
2025-03-04 21:23:23,209 - SEND event to port 5001, logical clock: 90
2025-03-04 21:23:23,547 - INTERNAL event, logical clock: 91
2025-03-04 21:23:23,886 - RECEIVE event, queue length: 0, logical clock: 93
2025-03-04 21:23:24,220 - RECEIVE event, queue length: 0, logical clock: 94
2025-03-04 21:23:24,558 - SEND event to ALL machines, logical clock: 95
2025-03-04 21:23:24,896 - INTERNAL event, logical clock: 96
2025-03-04 21:23:25,234 - SEND event to port 5003, logical clock: 97
2025-03-04 21:23:25,573 - SEND event to ALL machines, logical clock: 98
2025-03-04 21:23:25,909 - SEND event to ALL machines, logical clock: 99
2025-03-04 21:23:26,243 - SEND event to ALL machines, logical clock: 100
2025-03-04 21:23:26,582 - SEND event to port 5001, logical clock: 101
2025-03-04 21:23:26,916 - SEND event to port 5003, logical clock: 102
