2025-03-04 21:25:00,280 - Connected to machine on port 5001
2025-03-04 21:25:00,283 - Connected to machine on port 5003
2025-03-04 21:25:00,284 - Machine 1 starting with clock rate 1
2025-03-04 21:25:00,285 - SEND event to ALL machines, logical clock: 1
2025-03-04 21:25:01,289 - RECEIVE event, queue length: 3, logical clock: 2
2025-03-04 21:25:02,291 - RECEIVE event, queue length: 6, logical clock: 5
2025-03-04 21:25:03,296 - RECEIVE event, queue length: 8, logical clock: 6
2025-03-04 21:25:04,297 - RECEIVE event, queue length: 11, logical clock: 7
2025-03-04 21:25:05,302 - RECEIVE event, queue length: 11, logical clock: 8
2025-03-04 21:25:06,306 - RECEIVE event, queue length: 14, logical clock: 9
2025-03-04 21:25:07,311 - RECEIVE event, queue length: 14, logical clock: 12
2025-03-04 21:25:08,314 - RECEIVE event, queue length: 16, logical clock: 13
2025-03-04 21:25:09,318 - RECEIVE event, queue length: 18, logical clock: 15
2025-03-04 21:25:10,322 - RECEIVE event, queue length: 22, logical clock: 16
2025-03-04 21:25:11,323 - RECEIVE event, queue length: 25, logical clock: 18
2025-03-04 21:25:12,328 - RECEIVE event, queue length: 26, logical clock: 20
2025-03-04 21:25:13,333 - RECEIVE event, queue length: 29, logical clock: 21
2025-03-04 21:25:14,338 - RECEIVE event, queue length: 29, logical clock: 23
2025-03-04 21:25:15,341 - RECEIVE event, queue length: 32, logical clock: 25
2025-03-04 21:25:16,346 - RECEIVE event, queue length: 35, logical clock: 31
2025-03-04 21:25:17,346 - RECEIVE event, queue length: 37, logical clock: 32
2025-03-04 21:25:18,351 - RECEIVE event, queue length: 38, logical clock: 33
2025-03-04 21:25:19,352 - RECEIVE event, queue length: 39, logical clock: 34
2025-03-04 21:25:20,354 - RECEIVE event, queue length: 43, logical clock: 35
2025-03-04 21:25:21,359 - RECEIVE event, queue length: 48, logical clock: 43
2025-03-04 21:25:22,362 - RECEIVE event, queue length: 51, logical clock: 44
2025-03-04 21:25:23,367 - RECEIVE event, queue length: 55, logical clock: 48
2025-03-04 21:25:24,373 - RECEIVE event, queue length: 59, logical clock: 49
2025-03-04 21:25:25,373 - RECEIVE event, queue length: 62, logical clock: 50
2025-03-04 21:25:26,378 - RECEIVE event, queue length: 64, logical clock: 52
2025-03-04 21:25:27,382 - RECEIVE event, queue length: 65, logical clock: 54
2025-03-04 21:25:28,383 - RECEIVE event, queue length: 67, logical clock: 56
2025-03-04 21:25:29,384 - RECEIVE event, queue length: 71, logical clock: 57
2025-03-04 21:25:30,387 - RECEIVE event, queue length: 74, logical clock: 58
2025-03-04 21:25:31,388 - RECEIVE event, queue length: 76, logical clock: 59
2025-03-04 21:25:32,390 - RECEIVE event, queue length: 77, logical clock: 60
2025-03-04 21:25:33,395 - RECEIVE event, queue length: 79, logical clock: 61
2025-03-04 21:25:34,396 - RECEIVE event, queue length: 81, logical clock: 62
2025-03-04 21:25:35,401 - RECEIVE event, queue length: 84, logical clock: 63
2025-03-04 21:25:36,403 - RECEIVE event, queue length: 85, logical clock: 65
2025-03-04 21:25:37,410 - RECEIVE event, queue length: 87, logical clock: 68
2025-03-04 21:25:38,415 - RECEIVE event, queue length: 90, logical clock: 70
2025-03-04 21:25:39,420 - RECEIVE event, queue length: 92, logical clock: 73
2025-03-04 21:25:40,425 - RECEIVE event, queue length: 93, logical clock: 74
2025-03-04 21:25:41,430 - RECEIVE event, queue length: 97, logical clock: 75
2025-03-04 21:25:42,432 - RECEIVE event, queue length: 98, logical clock: 76
2025-03-04 21:25:43,436 - RECEIVE event, queue length: 100, logical clock: 82
2025-03-04 21:25:44,437 - RECEIVE event, queue length: 103, logical clock: 86
2025-03-04 21:25:45,441 - RECEIVE event, queue length: 106, logical clock: 88
2025-03-04 21:25:46,446 - RECEIVE event, queue length: 109, logical clock: 89
2025-03-04 21:25:47,451 - RECEIVE event, queue length: 113, logical clock: 90
2025-03-04 21:25:48,454 - RECEIVE event, queue length: 116, logical clock: 91
2025-03-04 21:25:49,458 - RECEIVE event, queue length: 118, logical clock: 92
2025-03-04 21:25:50,463 - RECEIVE event, queue length: 120, logical clock: 95
2025-03-04 21:25:51,468 - RECEIVE event, queue length: 122, logical clock: 96
2025-03-04 21:25:52,473 - RECEIVE event, queue length: 124, logical clock: 97
2025-03-04 21:25:53,477 - RECEIVE event, queue length: 128, logical clock: 98
2025-03-04 21:25:54,482 - RECEIVE event, queue length: 131, logical clock: 99
2025-03-04 21:25:55,487 - RECEIVE event, queue length: 134, logical clock: 106
2025-03-04 21:25:56,492 - RECEIVE event, queue length: 136, logical clock: 107
2025-03-04 21:25:57,497 - RECEIVE event, queue length: 139, logical clock: 109
2025-03-04 21:25:58,274 - Machine 1 stopped. Final logical clock: 109
