2025-03-04 19:55:33,019 - Connected to machine on port 5001
2025-03-04 19:55:33,021 - Connected to machine on port 5003
2025-03-04 19:55:33,024 - Machine 1 starting with clock rate 2
2025-03-04 19:55:33,024 - INTERNAL event, logical clock: 1
2025-03-04 19:56:13,794 - RECEIVE event, queue length: 3, logical clock: 248
2025-03-04 19:56:14,299 - RECEIVE event, queue length: 3, logical clock: 253
2025-03-04 19:56:14,801 - RECEIVE event, queue length: 4, logical clock: 255
2025-03-04 19:56:15,306 - RECEIVE event, queue length: 5, logical clock: 256
2025-03-04 19:56:15,809 - RECEIVE event, queue length: 5, logical clock: 262
2025-03-04 19:56:16,312 - RECEIVE event, queue length: 4, logical clock: 264
2025-03-04 19:56:16,814 - RECEIVE event, queue length: 3, logical clock: 265
2025-03-04 19:56:17,316 - RECEIVE event, queue length: 4, logical clock: 268
2025-03-04 19:56:17,821 - RECEIVE event, queue length: 4, logical clock: 269
2025-03-04 19:56:18,326 - RECEIVE event, queue length: 4, logical clock: 273
2025-03-04 19:56:18,831 - RECEIVE event, queue length: 4, logical clock: 281
2025-03-04 19:56:19,336 - RECEIVE event, queue length: 3, logical clock: 282
2025-03-04 19:56:19,841 - RECEIVE event, queue length: 3, logical clock: 284
2025-03-04 19:56:20,341 - RECEIVE event, queue length: 3, logical clock: 288
2025-03-04 19:56:20,846 - RECEIVE event, queue length: 3, logical clock: 291
2025-03-04 19:56:21,351 - RECEIVE event, queue length: 2, logical clock: 298
2025-03-04 19:56:21,854 - RECEIVE event, queue length: 2, logical clock: 302
2025-03-04 19:56:22,360 - RECEIVE event, queue length: 1, logical clock: 306
2025-03-04 19:56:22,864 - RECEIVE event, queue length: 3, logical clock: 310
2025-03-04 19:56:23,365 - RECEIVE event, queue length: 3, logical clock: 316
2025-03-04 19:56:23,870 - RECEIVE event, queue length: 3, logical clock: 317
2025-03-04 19:56:24,373 - RECEIVE event, queue length: 3, logical clock: 319
2025-03-04 19:56:24,878 - RECEIVE event, queue length: 2, logical clock: 321
2025-03-04 19:56:25,382 - RECEIVE event, queue length: 2, logical clock: 323
2025-03-04 19:56:25,883 - RECEIVE event, queue length: 3, logical clock: 328
2025-03-04 19:56:26,388 - RECEIVE event, queue length: 3, logical clock: 334
2025-03-04 19:56:26,892 - RECEIVE event, queue length: 3, logical clock: 336
2025-03-04 19:56:27,397 - RECEIVE event, queue length: 4, logical clock: 338
2025-03-04 19:56:27,898 - RECEIVE event, queue length: 3, logical clock: 341
2025-03-04 19:56:28,399 - RECEIVE event, queue length: 2, logical clock: 342
2025-03-04 19:56:28,904 - RECEIVE event, queue length: 2, logical clock: 347
2025-03-04 19:56:29,408 - RECEIVE event, queue length: 2, logical clock: 348
2025-03-04 19:56:29,911 - RECEIVE event, queue length: 1, logical clock: 355
2025-03-04 19:56:30,413 - RECEIVE event, queue length: 1, logical clock: 360
2025-03-04 19:56:30,916 - RECEIVE event, queue length: 3, logical clock: 366
2025-03-04 19:56:31,018 - Machine 1 stopped. Final logical clock: 366
