2025-03-04 21:22:56,255 - Connected to machine on port 5001
2025-03-04 21:22:56,257 - Connected to machine on port 5002
2025-03-04 21:22:56,257 - Machine 2 starting with clock rate 3
2025-03-04 21:22:56,257 - SEND event to port 5001, logical clock: 1
2025-03-04 21:22:56,596 - RECEIVE event, queue length: 1, logical clock: 2
2025-03-04 21:22:56,934 - RECEIVE event, queue length: 0, logical clock: 3
2025-03-04 21:22:57,273 - INTERNAL event, logical clock: 4
2025-03-04 21:22:57,607 - SEND event to port 5002, logical clock: 5
2025-03-04 21:22:57,945 - RECEIVE event, queue length: 0, logical clock: 7
2025-03-04 21:22:58,283 - SEND event to ALL machines, logical clock: 8
2025-03-04 21:22:58,622 - SEND event to port 5001, logical clock: 9
2025-03-04 21:22:58,959 - RECEIVE event, queue length: 0, logical clock: 11
2025-03-04 21:22:59,297 - RECEIVE event, queue length: 0, logical clock: 12
2025-03-04 21:22:59,634 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-04 21:22:59,969 - INTERNAL event, logical clock: 14
2025-03-04 21:23:00,308 - SEND event to port 5001, logical clock: 15
2025-03-04 21:23:00,646 - SEND event to port 5002, logical clock: 16
2025-03-04 21:23:00,983 - SEND event to port 5002, logical clock: 17
2025-03-04 21:23:01,318 - RECEIVE event, queue length: 0, logical clock: 19
2025-03-04 21:23:01,652 - SEND event to port 5001, logical clock: 20
2025-03-04 21:23:01,989 - INTERNAL event, logical clock: 21
2025-03-04 21:23:02,326 - RECEIVE event, queue length: 0, logical clock: 23
2025-03-04 21:23:02,663 - RECEIVE event, queue length: 0, logical clock: 24
2025-03-04 21:23:03,000 - RECEIVE event, queue length: 0, logical clock: 25
2025-03-04 21:23:03,334 - SEND event to port 5002, logical clock: 26
2025-03-04 21:23:03,670 - SEND event to port 5001, logical clock: 27
2025-03-04 21:23:04,008 - SEND event to port 5002, logical clock: 28
2025-03-04 21:23:04,345 - RECEIVE event, queue length: 0, logical clock: 30
2025-03-04 21:23:04,683 - RECEIVE event, queue length: 0, logical clock: 31
2025-03-04 21:23:05,017 - RECEIVE event, queue length: 0, logical clock: 32
2025-03-04 21:23:05,356 - RECEIVE event, queue length: 0, logical clock: 33
2025-03-04 21:23:05,689 - SEND event to port 5001, logical clock: 34
2025-03-04 21:23:06,027 - RECEIVE event, queue length: 0, logical clock: 35
2025-03-04 21:23:06,366 - SEND event to port 5002, logical clock: 36
2025-03-04 21:23:06,700 - SEND event to port 5002, logical clock: 37
2025-03-04 21:23:07,034 - RECEIVE event, queue length: 0, logical clock: 38
2025-03-04 21:23:07,372 - RECEIVE event, queue length: 0, logical clock: 40
2025-03-04 21:23:07,711 - RECEIVE event, queue length: 0, logical clock: 41
2025-03-04 21:23:08,048 - RECEIVE event, queue length: 0, logical clock: 42
2025-03-04 21:23:08,387 - INTERNAL event, logical clock: 43
2025-03-04 21:23:08,725 - RECEIVE event, queue length: 1, logical clock: 44
2025-03-04 21:23:09,064 - RECEIVE event, queue length: 0, logical clock: 45
2025-03-04 21:23:09,402 - SEND event to ALL machines, logical clock: 46
2025-03-04 21:23:09,740 - SEND event to port 5001, logical clock: 47
2025-03-04 21:23:10,078 - SEND event to port 5001, logical clock: 48
2025-03-04 21:23:10,412 - RECEIVE event, queue length: 0, logical clock: 50
2025-03-04 21:23:10,750 - SEND event to port 5002, logical clock: 51
2025-03-04 21:23:11,087 - SEND event to port 5001, logical clock: 52
2025-03-04 21:23:11,422 - RECEIVE event, queue length: 0, logical clock: 54
2025-03-04 21:23:11,761 - RECEIVE event, queue length: 0, logical clock: 55
2025-03-04 21:23:12,095 - SEND event to port 5001, logical clock: 56
2025-03-04 21:23:12,431 - SEND event to ALL machines, logical clock: 57
2025-03-04 21:23:12,765 - SEND event to ALL machines, logical clock: 58
2025-03-04 21:23:13,102 - SEND event to ALL machines, logical clock: 59
2025-03-04 21:23:13,436 - SEND event to port 5001, logical clock: 60
2025-03-04 21:23:13,770 - RECEIVE event, queue length: 0, logical clock: 62
2025-03-04 21:23:14,108 - RECEIVE event, queue length: 0, logical clock: 63
2025-03-04 21:23:14,445 - RECEIVE event, queue length: 0, logical clock: 64
2025-03-04 21:23:14,783 - RECEIVE event, queue length: 0, logical clock: 65
2025-03-04 21:23:15,117 - RECEIVE event, queue length: 0, logical clock: 66
2025-03-04 21:23:15,455 - RECEIVE event, queue length: 1, logical clock: 67
2025-03-04 21:23:15,794 - RECEIVE event, queue length: 1, logical clock: 68
2025-03-04 21:23:16,128 - RECEIVE event, queue length: 1, logical clock: 69
2025-03-04 21:23:16,462 - RECEIVE event, queue length: 0, logical clock: 70
2025-03-04 21:23:16,800 - RECEIVE event, queue length: 0, logical clock: 71
2025-03-04 21:23:17,137 - RECEIVE event, queue length: 1, logical clock: 72
2025-03-04 21:23:17,476 - RECEIVE event, queue length: 1, logical clock: 73
2025-03-04 21:23:17,813 - RECEIVE event, queue length: 1, logical clock: 74
2025-03-04 21:23:18,152 - RECEIVE event, queue length: 1, logical clock: 75
2025-03-04 21:23:18,490 - RECEIVE event, queue length: 2, logical clock: 76
2025-03-04 21:23:18,828 - RECEIVE event, queue length: 1, logical clock: 77
2025-03-04 21:23:19,164 - RECEIVE event, queue length: 0, logical clock: 78
2025-03-04 21:23:19,501 - SEND event to port 5001, logical clock: 79
2025-03-04 21:23:19,837 - RECEIVE event, queue length: 0, logical clock: 80
2025-03-04 21:23:20,175 - RECEIVE event, queue length: 0, logical clock: 81
2025-03-04 21:23:20,512 - RECEIVE event, queue length: 1, logical clock: 82
2025-03-04 21:23:20,849 - RECEIVE event, queue length: 0, logical clock: 83
2025-03-04 21:23:21,188 - RECEIVE event, queue length: 2, logical clock: 84
2025-03-04 21:23:21,526 - RECEIVE event, queue length: 2, logical clock: 85
2025-03-04 21:23:21,861 - RECEIVE event, queue length: 2, logical clock: 86
2025-03-04 21:23:22,200 - RECEIVE event, queue length: 1, logical clock: 87
2025-03-04 21:23:22,537 - RECEIVE event, queue length: 1, logical clock: 88
2025-03-04 21:23:22,875 - RECEIVE event, queue length: 2, logical clock: 89
2025-03-04 21:23:23,211 - RECEIVE event, queue length: 1, logical clock: 90
2025-03-04 21:23:23,549 - RECEIVE event, queue length: 0, logical clock: 91
2025-03-04 21:23:23,888 - RECEIVE event, queue length: 0, logical clock: 93
2025-03-04 21:23:24,222 - RECEIVE event, queue length: 0, logical clock: 94
2025-03-04 21:23:24,558 - RECEIVE event, queue length: 0, logical clock: 95
2025-03-04 21:23:24,896 - RECEIVE event, queue length: 0, logical clock: 96
