2025-03-04 21:21:54,228 - Connected to machine on port 5001
2025-03-04 21:21:54,228 - Connected to machine on port 5002
2025-03-04 21:21:54,229 - Machine 2 starting with clock rate 2
2025-03-04 21:21:54,229 - RECEIVE event, queue length: 0, logical clock: 2
2025-03-04 21:21:54,733 - RECEIVE event, queue length: 0, logical clock: 4
2025-03-04 21:21:55,238 - SEND event to ALL machines, logical clock: 5
2025-03-04 21:21:55,743 - SEND event to port 5001, logical clock: 6
2025-03-04 21:21:56,245 - RECEIVE event, queue length: 0, logical clock: 9
2025-03-04 21:21:56,750 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-04 21:21:57,255 - RECEIVE event, queue length: 0, logical clock: 14
2025-03-04 21:21:57,758 - SEND event to port 5002, logical clock: 15
2025-03-04 21:21:58,263 - RECEIVE event, queue length: 0, logical clock: 20
2025-03-04 21:21:58,768 - RECEIVE event, queue length: 1, logical clock: 22
2025-03-04 21:21:59,273 - RECEIVE event, queue length: 0, logical clock: 24
2025-03-04 21:21:59,778 - RECEIVE event, queue length: 0, logical clock: 30
2025-03-04 21:22:00,280 - SEND event to port 5001, logical clock: 31
2025-03-04 21:22:00,781 - RECEIVE event, queue length: 1, logical clock: 32
2025-03-04 21:22:01,284 - RECEIVE event, queue length: 1, logical clock: 33
2025-03-04 21:22:01,789 - RECEIVE event, queue length: 0, logical clock: 37
2025-03-04 21:22:02,294 - RECEIVE event, queue length: 0, logical clock: 41
2025-03-04 21:22:02,799 - RECEIVE event, queue length: 0, logical clock: 43
2025-03-04 21:22:03,304 - RECEIVE event, queue length: 1, logical clock: 46
2025-03-04 21:22:03,809 - RECEIVE event, queue length: 0, logical clock: 47
2025-03-04 21:22:04,310 - RECEIVE event, queue length: 0, logical clock: 52
2025-03-04 21:22:04,810 - RECEIVE event, queue length: 1, logical clock: 53
2025-03-04 21:22:05,315 - RECEIVE event, queue length: 0, logical clock: 54
2025-03-04 21:22:05,820 - SEND event to port 5002, logical clock: 55
2025-03-04 21:22:06,322 - RECEIVE event, queue length: 0, logical clock: 60
2025-03-04 21:22:06,825 - RECEIVE event, queue length: 0, logical clock: 64
2025-03-04 21:22:07,327 - RECEIVE event, queue length: 1, logical clock: 66
2025-03-04 21:22:07,831 - RECEIVE event, queue length: 1, logical clock: 67
2025-03-04 21:22:08,336 - RECEIVE event, queue length: 0, logical clock: 69
2025-03-04 21:22:08,841 - RECEIVE event, queue length: 0, logical clock: 71
2025-03-04 21:22:09,346 - RECEIVE event, queue length: 0, logical clock: 75
2025-03-04 21:22:09,851 - RECEIVE event, queue length: 1, logical clock: 78
2025-03-04 21:22:10,352 - RECEIVE event, queue length: 2, logical clock: 79
2025-03-04 21:22:10,857 - RECEIVE event, queue length: 3, logical clock: 80
2025-03-04 21:22:11,362 - RECEIVE event, queue length: 4, logical clock: 81
2025-03-04 21:22:11,866 - RECEIVE event, queue length: 3, logical clock: 83
2025-03-04 21:22:12,370 - RECEIVE event, queue length: 3, logical clock: 84
2025-03-04 21:22:12,875 - RECEIVE event, queue length: 4, logical clock: 85
2025-03-04 21:22:13,378 - RECEIVE event, queue length: 3, logical clock: 86
2025-03-04 21:22:13,884 - RECEIVE event, queue length: 2, logical clock: 92
2025-03-04 21:22:14,385 - RECEIVE event, queue length: 3, logical clock: 93
2025-03-04 21:22:14,890 - RECEIVE event, queue length: 3, logical clock: 94
2025-03-04 21:22:15,395 - RECEIVE event, queue length: 3, logical clock: 100
2025-03-04 21:22:15,900 - RECEIVE event, queue length: 4, logical clock: 103
2025-03-04 21:22:16,405 - RECEIVE event, queue length: 3, logical clock: 104
2025-03-04 21:22:16,910 - RECEIVE event, queue length: 3, logical clock: 106
2025-03-04 21:22:17,415 - RECEIVE event, queue length: 3, logical clock: 109
2025-03-04 21:22:17,920 - RECEIVE event, queue length: 4, logical clock: 110
2025-03-04 21:22:18,421 - RECEIVE event, queue length: 5, logical clock: 115
2025-03-04 21:22:18,926 - RECEIVE event, queue length: 5, logical clock: 117
2025-03-04 21:22:19,431 - RECEIVE event, queue length: 5, logical clock: 118
2025-03-04 21:22:19,935 - RECEIVE event, queue length: 6, logical clock: 119
2025-03-04 21:22:20,438 - RECEIVE event, queue length: 6, logical clock: 121
2025-03-04 21:22:20,939 - RECEIVE event, queue length: 7, logical clock: 122
2025-03-04 21:22:21,444 - RECEIVE event, queue length: 7, logical clock: 124
2025-03-04 21:22:21,949 - RECEIVE event, queue length: 8, logical clock: 127
2025-03-04 21:22:22,454 - RECEIVE event, queue length: 9, logical clock: 129
2025-03-04 21:22:22,955 - RECEIVE event, queue length: 12, logical clock: 130
2025-03-04 21:22:23,460 - RECEIVE event, queue length: 12, logical clock: 131
2025-03-04 21:22:23,965 - RECEIVE event, queue length: 12, logical clock: 133
2025-03-04 21:22:24,470 - RECEIVE event, queue length: 14, logical clock: 135
2025-03-04 21:22:24,973 - RECEIVE event, queue length: 14, logical clock: 137
2025-03-04 21:22:25,478 - RECEIVE event, queue length: 14, logical clock: 138
2025-03-04 21:22:25,981 - RECEIVE event, queue length: 14, logical clock: 140
2025-03-04 21:22:26,481 - RECEIVE event, queue length: 15, logical clock: 141
2025-03-04 21:22:26,985 - RECEIVE event, queue length: 16, logical clock: 142
2025-03-04 21:22:27,490 - RECEIVE event, queue length: 15, logical clock: 143
2025-03-04 21:22:27,995 - RECEIVE event, queue length: 16, logical clock: 144
2025-03-04 21:22:28,496 - RECEIVE event, queue length: 15, logical clock: 145
2025-03-04 21:22:28,996 - RECEIVE event, queue length: 16, logical clock: 146
2025-03-04 21:22:29,498 - RECEIVE event, queue length: 16, logical clock: 147
2025-03-04 21:22:30,003 - RECEIVE event, queue length: 17, logical clock: 148
2025-03-04 21:22:30,504 - RECEIVE event, queue length: 18, logical clock: 150
2025-03-04 21:22:31,009 - RECEIVE event, queue length: 17, logical clock: 151
2025-03-04 21:22:31,514 - RECEIVE event, queue length: 17, logical clock: 152
2025-03-04 21:22:32,014 - RECEIVE event, queue length: 17, logical clock: 153
2025-03-04 21:22:32,519 - RECEIVE event, queue length: 17, logical clock: 156
2025-03-04 21:22:33,024 - RECEIVE event, queue length: 16, logical clock: 159
2025-03-04 21:22:33,527 - RECEIVE event, queue length: 17, logical clock: 160
2025-03-04 21:22:34,031 - RECEIVE event, queue length: 18, logical clock: 162
2025-03-04 21:22:34,532 - RECEIVE event, queue length: 19, logical clock: 163
2025-03-04 21:22:35,034 - RECEIVE event, queue length: 20, logical clock: 164
2025-03-04 21:22:35,539 - RECEIVE event, queue length: 20, logical clock: 169
2025-03-04 21:22:36,044 - RECEIVE event, queue length: 20, logical clock: 170
2025-03-04 21:22:36,549 - RECEIVE event, queue length: 21, logical clock: 173
2025-03-04 21:22:37,052 - RECEIVE event, queue length: 21, logical clock: 174
2025-03-04 21:22:37,557 - RECEIVE event, queue length: 21, logical clock: 177
2025-03-04 21:22:38,061 - RECEIVE event, queue length: 21, logical clock: 178
2025-03-04 21:22:38,562 - RECEIVE event, queue length: 21, logical clock: 179
2025-03-04 21:22:39,067 - RECEIVE event, queue length: 20, logical clock: 181
2025-03-04 21:22:39,569 - RECEIVE event, queue length: 21, logical clock: 182
2025-03-04 21:22:40,069 - RECEIVE event, queue length: 22, logical clock: 185
2025-03-04 21:22:40,574 - RECEIVE event, queue length: 22, logical clock: 186
2025-03-04 21:22:41,076 - RECEIVE event, queue length: 23, logical clock: 191
2025-03-04 21:22:41,577 - RECEIVE event, queue length: 23, logical clock: 196
2025-03-04 21:22:42,082 - RECEIVE event, queue length: 24, logical clock: 197
2025-03-04 21:22:42,587 - RECEIVE event, queue length: 25, logical clock: 198
2025-03-04 21:22:43,091 - RECEIVE event, queue length: 25, logical clock: 199
2025-03-04 21:22:43,596 - RECEIVE event, queue length: 26, logical clock: 200
2025-03-04 21:22:44,101 - RECEIVE event, queue length: 27, logical clock: 202
2025-03-04 21:22:44,605 - RECEIVE event, queue length: 28, logical clock: 203
2025-03-04 21:22:45,110 - RECEIVE event, queue length: 28, logical clock: 204
2025-03-04 21:22:45,615 - RECEIVE event, queue length: 29, logical clock: 205
2025-03-04 21:22:46,120 - RECEIVE event, queue length: 29, logical clock: 207
2025-03-04 21:22:46,625 - RECEIVE event, queue length: 31, logical clock: 210
2025-03-04 21:22:47,130 - RECEIVE event, queue length: 32, logical clock: 211
2025-03-04 21:22:47,631 - RECEIVE event, queue length: 32, logical clock: 214
2025-03-04 21:22:48,136 - RECEIVE event, queue length: 31, logical clock: 215
2025-03-04 21:22:48,639 - RECEIVE event, queue length: 32, logical clock: 219
2025-03-04 21:22:49,144 - RECEIVE event, queue length: 31, logical clock: 221
2025-03-04 21:22:49,648 - RECEIVE event, queue length: 32, logical clock: 226
2025-03-04 21:22:50,153 - RECEIVE event, queue length: 32, logical clock: 227
2025-03-04 21:22:50,658 - RECEIVE event, queue length: 32, logical clock: 229
2025-03-04 21:22:51,162 - RECEIVE event, queue length: 31, logical clock: 230
2025-03-04 21:22:51,666 - RECEIVE event, queue length: 32, logical clock: 231
2025-03-04 21:22:52,171 - RECEIVE event, queue length: 32, logical clock: 233
2025-03-04 21:22:52,232 - Machine 2 stopped. Final logical clock: 233
