2025-03-04 23:07:44,201 - Connected to machine on port 5001
2025-03-04 23:07:44,202 - Connected to machine on port 5003
2025-03-04 23:07:44,202 - Machine 1 starting with clock rate 3
2025-03-04 23:07:44,203 - SEND event to port 5001, logical clock: 1
2025-03-04 23:07:44,541 - RECEIVE event, queue length: 0, logical clock: 2
2025-03-04 23:07:44,879 - RECEIVE event, queue length: 1, logical clock: 5
2025-03-04 23:07:45,215 - RECEIVE event, queue length: 0, logical clock: 6
2025-03-04 23:07:45,553 - RECEIVE event, queue length: 0, logical clock: 8
2025-03-04 23:07:45,891 - RECEIVE event, queue length: 0, logical clock: 11
2025-03-04 23:07:46,229 - RECEIVE event, queue length: 0, logical clock: 12
2025-03-04 23:07:46,567 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-04 23:07:46,905 - RECEIVE event, queue length: 1, logical clock: 15
2025-03-04 23:07:47,243 - RECEIVE event, queue length: 0, logical clock: 16
2025-03-04 23:07:47,578 - RECEIVE event, queue length: 1, logical clock: 18
2025-03-04 23:07:47,913 - RECEIVE event, queue length: 2, logical clock: 19
2025-03-04 23:07:48,248 - RECEIVE event, queue length: 2, logical clock: 20
2025-03-04 23:07:48,586 - RECEIVE event, queue length: 2, logical clock: 21
2025-03-04 23:07:48,924 - RECEIVE event, queue length: 1, logical clock: 22
2025-03-04 23:07:49,259 - RECEIVE event, queue length: 1, logical clock: 23
2025-03-04 23:07:49,592 - RECEIVE event, queue length: 0, logical clock: 27
2025-03-04 23:07:49,930 - RECEIVE event, queue length: 0, logical clock: 30
2025-03-04 23:07:50,267 - SEND event to port 5001, logical clock: 31
2025-03-04 23:07:50,605 - RECEIVE event, queue length: 0, logical clock: 34
2025-03-04 23:07:50,939 - SEND event to ALL machines, logical clock: 35
2025-03-04 23:07:51,276 - SEND event to port 5003, logical clock: 36
2025-03-04 23:07:51,614 - RECEIVE event, queue length: 1, logical clock: 38
2025-03-04 23:07:51,953 - RECEIVE event, queue length: 2, logical clock: 39
2025-03-04 23:07:52,291 - RECEIVE event, queue length: 2, logical clock: 40
2025-03-04 23:07:52,625 - RECEIVE event, queue length: 2, logical clock: 41
2025-03-04 23:07:52,963 - RECEIVE event, queue length: 1, logical clock: 42
2025-03-04 23:07:53,300 - RECEIVE event, queue length: 2, logical clock: 44
2025-03-04 23:07:53,639 - RECEIVE event, queue length: 2, logical clock: 46
2025-03-04 23:07:53,975 - RECEIVE event, queue length: 2, logical clock: 47
2025-03-04 23:07:54,309 - RECEIVE event, queue length: 3, logical clock: 48
2025-03-04 23:07:54,647 - RECEIVE event, queue length: 3, logical clock: 50
2025-03-04 23:07:54,980 - RECEIVE event, queue length: 3, logical clock: 51
2025-03-04 23:07:55,317 - RECEIVE event, queue length: 4, logical clock: 52
2025-03-04 23:07:55,653 - RECEIVE event, queue length: 4, logical clock: 54
2025-03-04 23:07:55,988 - RECEIVE event, queue length: 3, logical clock: 55
2025-03-04 23:07:56,326 - RECEIVE event, queue length: 3, logical clock: 56
2025-03-04 23:07:56,660 - RECEIVE event, queue length: 3, logical clock: 57
2025-03-04 23:07:56,996 - RECEIVE event, queue length: 3, logical clock: 59
2025-03-04 23:07:57,335 - RECEIVE event, queue length: 4, logical clock: 62
2025-03-04 23:07:57,673 - RECEIVE event, queue length: 4, logical clock: 63
2025-03-04 23:07:58,011 - RECEIVE event, queue length: 4, logical clock: 65
2025-03-04 23:07:58,350 - RECEIVE event, queue length: 4, logical clock: 66
2025-03-04 23:07:58,684 - RECEIVE event, queue length: 4, logical clock: 67
2025-03-04 23:07:59,023 - RECEIVE event, queue length: 4, logical clock: 69
2025-03-04 23:07:59,361 - RECEIVE event, queue length: 5, logical clock: 70
2025-03-04 23:07:59,699 - RECEIVE event, queue length: 6, logical clock: 72
2025-03-04 23:08:00,037 - RECEIVE event, queue length: 6, logical clock: 73
2025-03-04 23:08:00,374 - RECEIVE event, queue length: 6, logical clock: 75
2025-03-04 23:08:00,712 - RECEIVE event, queue length: 5, logical clock: 76
2025-03-04 23:08:01,046 - RECEIVE event, queue length: 6, logical clock: 77
2025-03-04 23:08:01,385 - RECEIVE event, queue length: 6, logical clock: 78
2025-03-04 23:08:01,721 - RECEIVE event, queue length: 6, logical clock: 79
2025-03-04 23:08:02,059 - RECEIVE event, queue length: 7, logical clock: 80
2025-03-04 23:08:02,398 - RECEIVE event, queue length: 6, logical clock: 82
2025-03-04 23:08:02,733 - RECEIVE event, queue length: 6, logical clock: 84
2025-03-04 23:08:03,067 - RECEIVE event, queue length: 6, logical clock: 85
2025-03-04 23:08:03,405 - RECEIVE event, queue length: 7, logical clock: 86
2025-03-04 23:08:03,743 - RECEIVE event, queue length: 7, logical clock: 88
2025-03-04 23:08:04,079 - RECEIVE event, queue length: 6, logical clock: 89
2025-03-04 23:08:04,416 - RECEIVE event, queue length: 7, logical clock: 90
2025-03-04 23:08:04,754 - RECEIVE event, queue length: 6, logical clock: 93
2025-03-04 23:08:05,092 - RECEIVE event, queue length: 6, logical clock: 94
2025-03-04 23:08:05,430 - RECEIVE event, queue length: 6, logical clock: 96
2025-03-04 23:08:05,769 - RECEIVE event, queue length: 6, logical clock: 97
2025-03-04 23:08:06,107 - RECEIVE event, queue length: 5, logical clock: 98
2025-03-04 23:08:06,445 - RECEIVE event, queue length: 5, logical clock: 101
2025-03-04 23:08:06,784 - RECEIVE event, queue length: 5, logical clock: 102
2025-03-04 23:08:07,122 - RECEIVE event, queue length: 4, logical clock: 105
2025-03-04 23:08:07,458 - RECEIVE event, queue length: 4, logical clock: 106
2025-03-04 23:08:07,796 - RECEIVE event, queue length: 3, logical clock: 108
2025-03-04 23:08:08,135 - RECEIVE event, queue length: 3, logical clock: 112
2025-03-04 23:08:08,473 - RECEIVE event, queue length: 3, logical clock: 113
2025-03-04 23:08:08,812 - RECEIVE event, queue length: 3, logical clock: 116
2025-03-04 23:08:09,149 - RECEIVE event, queue length: 4, logical clock: 119
2025-03-04 23:08:09,482 - RECEIVE event, queue length: 4, logical clock: 122
2025-03-04 23:08:09,821 - RECEIVE event, queue length: 4, logical clock: 123
2025-03-04 23:08:10,159 - RECEIVE event, queue length: 3, logical clock: 124
2025-03-04 23:08:10,493 - RECEIVE event, queue length: 4, logical clock: 125
2025-03-04 23:08:10,831 - RECEIVE event, queue length: 3, logical clock: 127
2025-03-04 23:08:11,170 - RECEIVE event, queue length: 3, logical clock: 128
2025-03-04 23:08:11,505 - RECEIVE event, queue length: 4, logical clock: 131
2025-03-04 23:08:11,844 - RECEIVE event, queue length: 3, logical clock: 132
2025-03-04 23:08:12,180 - RECEIVE event, queue length: 2, logical clock: 135
2025-03-04 23:08:12,519 - RECEIVE event, queue length: 2, logical clock: 136
2025-03-04 23:08:12,857 - RECEIVE event, queue length: 2, logical clock: 137
2025-03-04 23:08:13,195 - RECEIVE event, queue length: 2, logical clock: 142
2025-03-04 23:08:13,534 - RECEIVE event, queue length: 2, logical clock: 143
2025-03-04 23:08:13,872 - RECEIVE event, queue length: 2, logical clock: 144
2025-03-04 23:08:14,210 - RECEIVE event, queue length: 3, logical clock: 147
2025-03-04 23:08:14,548 - RECEIVE event, queue length: 3, logical clock: 148
2025-03-04 23:08:14,885 - RECEIVE event, queue length: 4, logical clock: 149
2025-03-04 23:08:15,222 - RECEIVE event, queue length: 4, logical clock: 150
2025-03-04 23:08:15,558 - RECEIVE event, queue length: 3, logical clock: 151
2025-03-04 23:08:15,897 - RECEIVE event, queue length: 4, logical clock: 152
2025-03-04 23:08:16,235 - RECEIVE event, queue length: 5, logical clock: 153
2025-03-04 23:08:16,573 - RECEIVE event, queue length: 4, logical clock: 154
2025-03-04 23:08:16,907 - RECEIVE event, queue length: 4, logical clock: 157
2025-03-04 23:08:17,244 - RECEIVE event, queue length: 5, logical clock: 158
2025-03-04 23:08:17,582 - RECEIVE event, queue length: 4, logical clock: 159
2025-03-04 23:08:17,920 - RECEIVE event, queue length: 4, logical clock: 160
2025-03-04 23:08:18,259 - RECEIVE event, queue length: 4, logical clock: 163
2025-03-04 23:08:18,597 - RECEIVE event, queue length: 4, logical clock: 164
2025-03-04 23:08:18,936 - RECEIVE event, queue length: 4, logical clock: 165
2025-03-04 23:08:19,274 - RECEIVE event, queue length: 5, logical clock: 168
2025-03-04 23:08:19,612 - RECEIVE event, queue length: 5, logical clock: 169
2025-03-04 23:08:19,951 - RECEIVE event, queue length: 6, logical clock: 171
2025-03-04 23:08:20,289 - RECEIVE event, queue length: 5, logical clock: 173
2025-03-04 23:08:20,627 - RECEIVE event, queue length: 5, logical clock: 174
2025-03-04 23:08:20,966 - RECEIVE event, queue length: 6, logical clock: 175
2025-03-04 23:08:21,304 - RECEIVE event, queue length: 7, logical clock: 176
2025-03-04 23:08:21,642 - RECEIVE event, queue length: 7, logical clock: 177
2025-03-04 23:08:21,981 - RECEIVE event, queue length: 8, logical clock: 178
2025-03-04 23:08:22,317 - RECEIVE event, queue length: 9, logical clock: 181
2025-03-04 23:08:22,653 - RECEIVE event, queue length: 9, logical clock: 182
2025-03-04 23:08:22,991 - RECEIVE event, queue length: 10, logical clock: 183
2025-03-04 23:08:23,326 - RECEIVE event, queue length: 11, logical clock: 184
2025-03-04 23:08:23,663 - RECEIVE event, queue length: 11, logical clock: 185
2025-03-04 23:08:24,001 - RECEIVE event, queue length: 10, logical clock: 186
2025-03-04 23:08:24,336 - RECEIVE event, queue length: 9, logical clock: 187
2025-03-04 23:08:24,674 - RECEIVE event, queue length: 9, logical clock: 188
2025-03-04 23:08:25,013 - RECEIVE event, queue length: 9, logical clock: 189
2025-03-04 23:08:25,347 - RECEIVE event, queue length: 8, logical clock: 190
2025-03-04 23:08:25,683 - RECEIVE event, queue length: 8, logical clock: 191
2025-03-04 23:08:26,021 - RECEIVE event, queue length: 8, logical clock: 192
2025-03-04 23:08:26,359 - RECEIVE event, queue length: 8, logical clock: 193
2025-03-04 23:08:26,693 - RECEIVE event, queue length: 8, logical clock: 194
2025-03-04 23:08:27,029 - RECEIVE event, queue length: 8, logical clock: 195
2025-03-04 23:08:27,363 - RECEIVE event, queue length: 8, logical clock: 196
2025-03-04 23:08:27,700 - RECEIVE event, queue length: 8, logical clock: 200
2025-03-04 23:08:28,034 - RECEIVE event, queue length: 7, logical clock: 202
2025-03-04 23:08:28,372 - RECEIVE event, queue length: 6, logical clock: 205
2025-03-04 23:08:28,711 - RECEIVE event, queue length: 6, logical clock: 207
2025-03-04 23:08:29,045 - RECEIVE event, queue length: 6, logical clock: 209
2025-03-04 23:08:29,384 - RECEIVE event, queue length: 6, logical clock: 210
2025-03-04 23:08:29,719 - RECEIVE event, queue length: 5, logical clock: 212
2025-03-04 23:08:30,054 - RECEIVE event, queue length: 5, logical clock: 214
2025-03-04 23:08:30,392 - RECEIVE event, queue length: 5, logical clock: 215
2025-03-04 23:08:30,730 - RECEIVE event, queue length: 4, logical clock: 220
2025-03-04 23:08:31,069 - RECEIVE event, queue length: 4, logical clock: 223
2025-03-04 23:08:31,407 - RECEIVE event, queue length: 4, logical clock: 224
2025-03-04 23:08:31,745 - RECEIVE event, queue length: 4, logical clock: 227
2025-03-04 23:08:32,082 - RECEIVE event, queue length: 4, logical clock: 229
2025-03-04 23:08:32,420 - RECEIVE event, queue length: 5, logical clock: 232
2025-03-04 23:08:32,759 - RECEIVE event, queue length: 5, logical clock: 233
2025-03-04 23:08:33,096 - RECEIVE event, queue length: 5, logical clock: 236
2025-03-04 23:08:33,435 - RECEIVE event, queue length: 4, logical clock: 237
2025-03-04 23:08:33,772 - RECEIVE event, queue length: 3, logical clock: 238
2025-03-04 23:08:34,111 - RECEIVE event, queue length: 2, logical clock: 239
2025-03-04 23:08:34,449 - RECEIVE event, queue length: 2, logical clock: 240
2025-03-04 23:08:34,784 - RECEIVE event, queue length: 3, logical clock: 242
2025-03-04 23:08:35,122 - RECEIVE event, queue length: 2, logical clock: 249
2025-03-04 23:08:35,459 - RECEIVE event, queue length: 2, logical clock: 250
2025-03-04 23:08:35,797 - RECEIVE event, queue length: 1, logical clock: 251
2025-03-04 23:08:36,135 - RECEIVE event, queue length: 0, logical clock: 254
2025-03-04 23:08:36,474 - RECEIVE event, queue length: 0, logical clock: 259
2025-03-04 23:08:36,812 - RECEIVE event, queue length: 1, logical clock: 260
2025-03-04 23:08:37,148 - RECEIVE event, queue length: 0, logical clock: 261
2025-03-04 23:08:37,486 - RECEIVE event, queue length: 0, logical clock: 264
2025-03-04 23:08:37,825 - SEND event to port 5001, logical clock: 265
2025-03-04 23:08:38,163 - SEND event to port 5003, logical clock: 266
2025-03-04 23:08:38,497 - SEND event to port 5001, logical clock: 267
2025-03-04 23:08:38,835 - RECEIVE event, queue length: 0, logical clock: 271
2025-03-04 23:08:39,172 - RECEIVE event, queue length: 0, logical clock: 272
2025-03-04 23:08:39,506 - RECEIVE event, queue length: 0, logical clock: 273
2025-03-04 23:08:39,844 - SEND event to port 5001, logical clock: 274
2025-03-04 23:08:40,181 - SEND event to port 5001, logical clock: 275
2025-03-04 23:08:40,519 - INTERNAL event, logical clock: 276
2025-03-04 23:08:40,858 - SEND event to port 5001, logical clock: 277
2025-03-04 23:08:41,192 - RECEIVE event, queue length: 0, logical clock: 281
2025-03-04 23:08:41,528 - RECEIVE event, queue length: 1, logical clock: 283
2025-03-04 23:08:41,867 - RECEIVE event, queue length: 1, logical clock: 284
2025-03-04 23:08:42,201 - Machine 1 stopped. Final logical clock: 284
