2025-03-04 23:06:33,216 - Connected to machine on port 5001
2025-03-04 23:06:33,220 - Connected to machine on port 5002
2025-03-04 23:06:33,221 - Machine 2 starting with clock rate 6
2025-03-04 23:06:33,222 - SEND event to port 5002, logical clock: 1
2025-03-04 23:06:33,392 - SEND event to port 5002, logical clock: 2
2025-03-04 23:06:33,562 - SEND event to port 5001, logical clock: 3
2025-03-04 23:06:33,729 - SEND event to ALL machines, logical clock: 4
2025-03-04 23:06:33,900 - SEND event to port 5002, logical clock: 5
2025-03-04 23:06:34,071 - SEND event to port 5002, logical clock: 6
2025-03-04 23:06:34,241 - SEND event to port 5001, logical clock: 7
2025-03-04 23:06:34,413 - SEND event to port 5001, logical clock: 8
2025-03-04 23:06:34,584 - SEND event to ALL machines, logical clock: 9
2025-03-04 23:06:34,751 - SEND event to port 5001, logical clock: 10
2025-03-04 23:06:34,923 - INTERNAL event, logical clock: 11
2025-03-04 23:06:35,094 - RECEIVE event, queue length: 0, logical clock: 12
2025-03-04 23:06:35,266 - RECEIVE event, queue length: 0, logical clock: 13
2025-03-04 23:06:35,436 - SEND event to port 5001, logical clock: 14
2025-03-04 23:06:35,604 - SEND event to ALL machines, logical clock: 15
2025-03-04 23:06:35,776 - SEND event to ALL machines, logical clock: 16
2025-03-04 23:06:35,946 - INTERNAL event, logical clock: 17
2025-03-04 23:06:36,118 - SEND event to port 5002, logical clock: 18
2025-03-04 23:06:36,289 - SEND event to port 5002, logical clock: 19
2025-03-04 23:06:36,456 - SEND event to port 5002, logical clock: 20
2025-03-04 23:06:36,628 - INTERNAL event, logical clock: 21
2025-03-04 23:06:36,799 - SEND event to ALL machines, logical clock: 22
2025-03-04 23:06:36,971 - SEND event to port 5001, logical clock: 23
2025-03-04 23:06:37,142 - SEND event to port 5001, logical clock: 24
2025-03-04 23:06:37,314 - SEND event to port 5001, logical clock: 25
2025-03-04 23:06:37,486 - SEND event to port 5002, logical clock: 26
2025-03-04 23:06:37,654 - SEND event to port 5002, logical clock: 27
2025-03-04 23:06:37,825 - SEND event to port 5002, logical clock: 28
2025-03-04 23:06:37,997 - SEND event to port 5001, logical clock: 29
2025-03-04 23:06:38,211 - SEND event to port 5002, logical clock: 30
2025-03-04 23:06:38,351 - INTERNAL event, logical clock: 31
2025-03-04 23:06:38,523 - SEND event to ALL machines, logical clock: 32
2025-03-04 23:06:38,694 - SEND event to port 5001, logical clock: 33
2025-03-04 23:06:38,865 - SEND event to port 5001, logical clock: 34
2025-03-04 23:06:39,035 - SEND event to ALL machines, logical clock: 35
2025-03-04 23:06:39,207 - SEND event to port 5002, logical clock: 36
2025-03-04 23:06:39,377 - SEND event to port 5001, logical clock: 37
2025-03-04 23:06:39,549 - SEND event to ALL machines, logical clock: 38
2025-03-04 23:06:39,721 - SEND event to port 5001, logical clock: 39
2025-03-04 23:06:39,892 - SEND event to ALL machines, logical clock: 40
2025-03-04 23:06:40,064 - SEND event to ALL machines, logical clock: 41
2025-03-04 23:06:40,234 - SEND event to ALL machines, logical clock: 42
2025-03-04 23:06:40,402 - SEND event to ALL machines, logical clock: 43
2025-03-04 23:06:40,571 - SEND event to port 5001, logical clock: 44
2025-03-04 23:06:40,739 - SEND event to ALL machines, logical clock: 45
2025-03-04 23:06:40,908 - INTERNAL event, logical clock: 46
2025-03-04 23:06:41,080 - SEND event to port 5002, logical clock: 47
2025-03-04 23:06:41,252 - SEND event to ALL machines, logical clock: 48
2025-03-04 23:06:41,422 - SEND event to ALL machines, logical clock: 49
2025-03-04 23:06:41,592 - SEND event to port 5002, logical clock: 50
2025-03-04 23:06:41,764 - SEND event to ALL machines, logical clock: 51
2025-03-04 23:06:41,935 - SEND event to port 5002, logical clock: 52
2025-03-04 23:06:42,103 - INTERNAL event, logical clock: 53
2025-03-04 23:06:42,275 - SEND event to ALL machines, logical clock: 54
2025-03-04 23:06:42,447 - SEND event to ALL machines, logical clock: 55
2025-03-04 23:06:42,614 - SEND event to port 5002, logical clock: 56
2025-03-04 23:06:42,786 - SEND event to port 5001, logical clock: 57
2025-03-04 23:06:42,958 - SEND event to port 5001, logical clock: 58
2025-03-04 23:06:43,128 - SEND event to port 5002, logical clock: 59
2025-03-04 23:06:43,297 - SEND event to ALL machines, logical clock: 60
2025-03-04 23:06:43,465 - SEND event to ALL machines, logical clock: 61
2025-03-04 23:06:43,633 - SEND event to port 5002, logical clock: 62
2025-03-04 23:06:43,805 - SEND event to ALL machines, logical clock: 63
2025-03-04 23:06:43,976 - SEND event to port 5001, logical clock: 64
2025-03-04 23:06:44,148 - SEND event to port 5002, logical clock: 65
2025-03-04 23:06:44,320 - SEND event to ALL machines, logical clock: 66
2025-03-04 23:06:44,491 - SEND event to ALL machines, logical clock: 67
2025-03-04 23:06:44,663 - SEND event to port 5002, logical clock: 68
2025-03-04 23:06:44,832 - INTERNAL event, logical clock: 69
2025-03-04 23:06:45,001 - SEND event to port 5001, logical clock: 70
2025-03-04 23:06:45,173 - SEND event to port 5002, logical clock: 71
2025-03-04 23:06:45,344 - SEND event to ALL machines, logical clock: 72
2025-03-04 23:06:45,516 - SEND event to port 5002, logical clock: 73
2025-03-04 23:06:45,688 - SEND event to port 5002, logical clock: 74
2025-03-04 23:06:45,859 - SEND event to ALL machines, logical clock: 75
2025-03-04 23:06:46,031 - SEND event to port 5001, logical clock: 76
2025-03-04 23:06:46,203 - SEND event to ALL machines, logical clock: 77
2025-03-04 23:06:46,375 - SEND event to port 5001, logical clock: 78
2025-03-04 23:06:46,546 - SEND event to port 5002, logical clock: 79
2025-03-04 23:06:46,717 - SEND event to port 5002, logical clock: 80
2025-03-04 23:06:46,888 - SEND event to port 5002, logical clock: 81
2025-03-04 23:06:47,055 - INTERNAL event, logical clock: 82
2025-03-04 23:06:47,226 - SEND event to port 5002, logical clock: 83
2025-03-04 23:06:47,395 - SEND event to port 5002, logical clock: 84
2025-03-04 23:06:47,562 - INTERNAL event, logical clock: 85
2025-03-04 23:06:47,734 - SEND event to ALL machines, logical clock: 86
