2025-03-04 21:23:58,264 - Connected to machine on port 5001
2025-03-04 21:23:58,267 - Connected to machine on port 5003
2025-03-04 21:23:58,267 - Machine 1 starting with clock rate 4
2025-03-04 21:23:58,268 - SEND event to ALL machines, logical clock: 1
2025-03-04 21:23:58,521 - RECEIVE event, queue length: 0, logical clock: 2
2025-03-04 21:23:58,776 - INTERNAL event, logical clock: 3
2025-03-04 21:23:59,031 - RECEIVE event, queue length: 0, logical clock: 6
2025-03-04 21:23:59,286 - RECEIVE event, queue length: 0, logical clock: 7
2025-03-04 21:23:59,541 - SEND event to port 5001, logical clock: 8
2025-03-04 21:23:59,796 - INTERNAL event, logical clock: 9
2025-03-04 21:24:00,048 - RECEIVE event, queue length: 1, logical clock: 11
2025-03-04 21:24:00,302 - RECEIVE event, queue length: 1, logical clock: 12
2025-03-04 21:24:00,557 - RECEIVE event, queue length: 2, logical clock: 13
2025-03-04 21:24:00,811 - RECEIVE event, queue length: 3, logical clock: 14
2025-03-04 21:24:01,066 - RECEIVE event, queue length: 3, logical clock: 15
2025-03-04 21:24:01,320 - RECEIVE event, queue length: 2, logical clock: 16
2025-03-04 21:24:01,575 - RECEIVE event, queue length: 2, logical clock: 17
2025-03-04 21:24:01,829 - RECEIVE event, queue length: 2, logical clock: 18
2025-03-04 21:24:02,081 - RECEIVE event, queue length: 1, logical clock: 22
2025-03-04 21:24:02,333 - RECEIVE event, queue length: 0, logical clock: 23
2025-03-04 21:24:02,584 - RECEIVE event, queue length: 0, logical clock: 28
2025-03-04 21:24:02,839 - RECEIVE event, queue length: 0, logical clock: 29
2025-03-04 21:24:03,094 - RECEIVE event, queue length: 0, logical clock: 30
2025-03-04 21:24:03,349 - RECEIVE event, queue length: 0, logical clock: 32
2025-03-04 21:24:03,601 - SEND event to port 5001, logical clock: 33
2025-03-04 21:24:03,856 - RECEIVE event, queue length: 0, logical clock: 35
2025-03-04 21:24:04,110 - RECEIVE event, queue length: 1, logical clock: 36
2025-03-04 21:24:04,365 - RECEIVE event, queue length: 1, logical clock: 37
2025-03-04 21:24:04,620 - RECEIVE event, queue length: 1, logical clock: 38
2025-03-04 21:24:04,875 - RECEIVE event, queue length: 1, logical clock: 39
2025-03-04 21:24:05,128 - RECEIVE event, queue length: 1, logical clock: 41
2025-03-04 21:24:05,383 - RECEIVE event, queue length: 1, logical clock: 42
2025-03-04 21:24:05,638 - RECEIVE event, queue length: 1, logical clock: 44
2025-03-04 21:24:05,893 - RECEIVE event, queue length: 1, logical clock: 46
2025-03-04 21:24:06,147 - RECEIVE event, queue length: 1, logical clock: 47
2025-03-04 21:24:06,402 - RECEIVE event, queue length: 1, logical clock: 49
2025-03-04 21:24:06,654 - RECEIVE event, queue length: 1, logical clock: 50
2025-03-04 21:24:06,909 - RECEIVE event, queue length: 1, logical clock: 52
2025-03-04 21:24:07,160 - RECEIVE event, queue length: 2, logical clock: 53
2025-03-04 21:24:07,412 - RECEIVE event, queue length: 2, logical clock: 54
2025-03-04 21:24:07,667 - RECEIVE event, queue length: 3, logical clock: 55
2025-03-04 21:24:07,922 - RECEIVE event, queue length: 3, logical clock: 56
2025-03-04 21:24:08,174 - RECEIVE event, queue length: 3, logical clock: 57
2025-03-04 21:24:08,429 - RECEIVE event, queue length: 2, logical clock: 58
2025-03-04 21:24:08,679 - RECEIVE event, queue length: 1, logical clock: 59
2025-03-04 21:24:08,932 - RECEIVE event, queue length: 0, logical clock: 61
2025-03-04 21:24:09,187 - RECEIVE event, queue length: 1, logical clock: 66
2025-03-04 21:24:09,442 - RECEIVE event, queue length: 1, logical clock: 67
2025-03-04 21:24:09,694 - RECEIVE event, queue length: 2, logical clock: 68
2025-03-04 21:24:09,949 - RECEIVE event, queue length: 1, logical clock: 69
2025-03-04 21:24:10,199 - RECEIVE event, queue length: 1, logical clock: 70
2025-03-04 21:24:10,454 - RECEIVE event, queue length: 1, logical clock: 72
2025-03-04 21:24:10,704 - RECEIVE event, queue length: 0, logical clock: 73
2025-03-04 21:24:10,959 - RECEIVE event, queue length: 1, logical clock: 76
2025-03-04 21:24:11,211 - RECEIVE event, queue length: 0, logical clock: 77
2025-03-04 21:24:11,466 - RECEIVE event, queue length: 0, logical clock: 80
2025-03-04 21:24:11,716 - RECEIVE event, queue length: 0, logical clock: 81
2025-03-04 21:24:11,971 - RECEIVE event, queue length: 1, logical clock: 82
2025-03-04 21:24:12,226 - RECEIVE event, queue length: 1, logical clock: 83
2025-03-04 21:24:12,481 - RECEIVE event, queue length: 1, logical clock: 84
2025-03-04 21:24:12,735 - RECEIVE event, queue length: 1, logical clock: 86
2025-03-04 21:24:12,987 - RECEIVE event, queue length: 1, logical clock: 87
2025-03-04 21:24:13,241 - RECEIVE event, queue length: 1, logical clock: 88
2025-03-04 21:24:13,496 - RECEIVE event, queue length: 2, logical clock: 90
2025-03-04 21:24:13,750 - RECEIVE event, queue length: 2, logical clock: 91
2025-03-04 21:24:14,001 - RECEIVE event, queue length: 3, logical clock: 92
2025-03-04 21:24:14,254 - RECEIVE event, queue length: 3, logical clock: 93
2025-03-04 21:24:14,509 - RECEIVE event, queue length: 4, logical clock: 94
2025-03-04 21:24:14,764 - RECEIVE event, queue length: 4, logical clock: 95
2025-03-04 21:24:15,019 - RECEIVE event, queue length: 4, logical clock: 96
2025-03-04 21:24:15,274 - RECEIVE event, queue length: 3, logical clock: 97
2025-03-04 21:24:15,529 - RECEIVE event, queue length: 3, logical clock: 98
2025-03-04 21:24:15,784 - RECEIVE event, queue length: 3, logical clock: 99
2025-03-04 21:24:16,039 - RECEIVE event, queue length: 4, logical clock: 101
2025-03-04 21:24:16,290 - RECEIVE event, queue length: 3, logical clock: 104
2025-03-04 21:24:16,545 - RECEIVE event, queue length: 3, logical clock: 105
2025-03-04 21:24:16,800 - RECEIVE event, queue length: 2, logical clock: 106
2025-03-04 21:24:17,053 - RECEIVE event, queue length: 3, logical clock: 107
2025-03-04 21:24:17,308 - RECEIVE event, queue length: 2, logical clock: 110
2025-03-04 21:24:17,563 - RECEIVE event, queue length: 2, logical clock: 112
2025-03-04 21:24:17,815 - RECEIVE event, queue length: 1, logical clock: 113
2025-03-04 21:24:18,070 - RECEIVE event, queue length: 2, logical clock: 115
2025-03-04 21:24:18,325 - RECEIVE event, queue length: 2, logical clock: 118
2025-03-04 21:24:18,580 - RECEIVE event, queue length: 3, logical clock: 119
2025-03-04 21:24:18,833 - RECEIVE event, queue length: 2, logical clock: 120
2025-03-04 21:24:19,088 - RECEIVE event, queue length: 2, logical clock: 121
2025-03-04 21:24:19,343 - RECEIVE event, queue length: 3, logical clock: 122
2025-03-04 21:24:19,593 - RECEIVE event, queue length: 2, logical clock: 124
2025-03-04 21:24:19,848 - RECEIVE event, queue length: 3, logical clock: 125
2025-03-04 21:24:20,102 - RECEIVE event, queue length: 3, logical clock: 126
2025-03-04 21:24:20,357 - RECEIVE event, queue length: 3, logical clock: 128
2025-03-04 21:24:20,608 - RECEIVE event, queue length: 3, logical clock: 129
2025-03-04 21:24:20,862 - RECEIVE event, queue length: 4, logical clock: 130
